,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
595,La Biblioteca Gourmande,"C. JUNTA DE COMERÇ, 28",el Raval,MEDITERRANEO,None,No,None,0.0,0,30,2.17192,41.37926
596,La Biennal,"RBLA. POBLENOU, 76",el Poblenou,MEDITERRANEO,Abierto,Si,9.0,8.7,14,20,2.20114,41.40133
597,La Biga,"C. CLOT, 137",el Clot,Sin información,Abierto,Si,9.0,0.0,0,20,2.18943,41.41128
598,La Botiga - C.C. Arenas,"G.V.. CORTS CATALANES, 373",la Nova Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,42.75,8.4,65,20,2.14997,41.37603
599,La Botiga - Gandesa,"C. GANDESA, 10",les Corts,MEDITERRANEO,None,Si,22.5,8.7,323,20,2.13029,41.38838
600,La Broqueta,"RBLA. POBLENOU, 101",el Poblenou,MEDITERRANEO,Abierto,Si,13.5,0.0,0,16,2.19886,41.40278
601,La Buena Vida,"RBLA. POBLENOU, 59",el Poblenou,MEDITERRANEO,Abierto,Si,13.5,0.0,0,15,2.2014,41.40082
602,La Burrata,"C. BALMES, 283",Sant Gervasi - Galvany,Sin información,Cerrado,No,None,0.0,0,15,2.14777,41.40093
603,La Calaca,"C. CONCILI DE TRENTO, 90",Sant Martí de Provençals,MEXICANO,None,Si,4.8,8.8,40,15,2.19543,41.41327
604,La Caleta de Gràcia,"C. TORRENT DE OLLA, 121",la Vila de Gràcia,MEDITERRANEO,None,No,None,0.0,0,20,2.15645,41.40275
605,La Caleta de Sants,"CTRA. BORDETA, 54",Hostafrancs,VENEZOLANO,Cerrado,No,None,0.0,0,35,2.14512,41.37357
606,La Carassa,"C. BROSOLI, 1","Sant Pere, Santa Caterina i la Ribera",CATALAN,None,No,None,9.2,237,41,2.18049,41.38389
607,La Catrina de Barcelona,"C. SARDENYA, 196",el Fort Pienc,MEXICANO,None,Si,3.45,0.0,0,20,2.1817,41.39719
608,La Central - Arenas,"C. LLANÇA, 20",la Nova Esquerra de l'Eixample,MEDITERRANEO,None,Si,2.25,0.0,0,15,2.15028,41.3766
609,La Central - Diputación,"C. DIPUTACIO, 255",la Dreta de l'Eixample,MEDITERRANEO,None,Si,5.7,0.0,0,15,2.16592,41.38969
610,La Chelinda - Diagonal Mar,"AV. DIAGONAL, 3",Diagonal Mar i el Front Marítim del Poblenou,MEXICANO,Abierto,Si,16.2,0.0,0,18,2.21642,41.41045
