,NOMBRE,DIRECCION,BARRIO,COCINA,SITUACION,TERRAZA,SUPERFICIE_OCUPADA,RATING,NUM_OPINIONES,PRECIO,LONGITUD,LATITUD
726,"Lasun, Gastronomía Nepalí","C. ARAGO, 397",el Fort Pienc,ASIATICO,Cerrado,No,None,9.4,659,14,2.17445,41.39958
727,Lata-Barra,"C. MALLORCA, 438",la Sagrada Família,MEDITERRANEO,None,Si,2.4,0.0,0,20,2.17711,41.40462
728,Lata-Bern@,"C. TORRENT DE LES FLORS, 53",la Vila de Gràcia,MEDITERRANEO,Abierto,No,None,8.8,569,20,2.16018,41.40619
729,Lato Café,"C. BRUC, 118",la Dreta de l'Eixample,LATINO,Abierto,Si,2.25,9.5,83,15,2.16713,41.3963
730,Laz Laz,"C. LEPANT, 297",la Sagrada Família,ITALIANO,Cerrado,No,None,0.0,0,20,2.17482,41.40574
731,Le Bouchon - Hotel Mercer Barcelona,"C. LLEDO, 7",el Barri Gòtic,MEDITERRANEO,Abierto,No,None,0.0,0,30,2.17893,41.38265
732,Le Divan,"C. GUILLEM TELL, 10",el Putxet i el Farró,FUSION,None,Si,1.2,9.0,39,18,2.14933,41.40308
733,Le Romane,"C. MUNTANER, 103",l'Antiga Esquerra de l'Eixample,Sin información,Abierto,Si,4.8,9.5,1010,20,2.15638,41.38881
734,Le Saint-Tropez,"C. PROVENÇA, 88",la Nova Esquerra de l'Eixample,MEDITERRANEO,None,Si,6.75,0.0,0,25,2.14796,41.38442
735,Leche de Tigre,"C. MARTINEZ DE LA ROSA, 10",la Vila de Gràcia,PERUANO,Abierto,No,None,9.4,690,25,2.15998,41.39912
736,Leka,"C. BADAJOZ, 65",el Poblenou,INTERNACIONAL,None,Si,9.0,0.0,0,25,2.19672,41.39754
737,Les Finestres de Llúria by Eboca Restaurant,"C. ROGER DE LLURIA, 60",la Dreta de l'Eixample,CATALAN,None,Si,2.85,9.0,222,20,2.16842,41.39358
738,Les Mil i Una Nits,"C. ROSSELLO, 354",la Sagrada Família,ARABE,Sin información,No,None,8.9,380,18,2.1707,41.40324
739,Les Truites,"C. ARIMON, 22",Sant Gervasi - la Bonanova,MEDITERRANEO,None,No,None,9.3,915,20,2.13692,41.40439
740,Level,"C. ROSSELLO, 206",la Dreta de l'Eixample,MEDITERRANEO,Abierto,Si,9.0,8.5,58,15,2.15783,41.39352
741,Libertine,"G.V.. CORTS CATALANES, 700",la Dreta de l'Eixample,MEDITERRANEO,Abierto,No,None,0.0,0,25,2.17429,41.39363
742,Lilo cafe,"C. DIPUTACIO, 443",el Fort Pienc,VEGETARIANO,Abierto,Si,4.5,9.4,138,15,2.17944,41.39982
743,Lisboa,"C. COMTE BORRELL, 145",la Nova Esquerra de l'Eixample,PORTUGUES,None,Si,6.0,0.0,0,18,2.15663,41.38179
744,Litoral,"C. PESCADORS, 87",la Barceloneta,MEDITERRANEO,None,No,None,9.5,63,25,2.19003,41.37609
745,Little Andaman,"C. MUNTANER, 182",l'Antiga Esquerra de l'Eixample,INDIO,None,No,None,9.6,205,27,2.1521,41.39232
746,Little India,"C. CONSELL DE CENT, 313",la Dreta de l'Eixample,INDIO,Abierto,Si,5.4,8.7,89,30,2.16313,41.3893
747,Little Italy Jazz,"C. REC, 30","Sant Pere, Santa Caterina i la Ribera",MEDITERRANEO,Abierto,No,None,0.0,0,23,2.1827,41.38532
748,Little Viet,"C. CARTAGENA, 328",la Sagrada Família,VIETNAMITA,None,No,None,9.1,54,18,2.17481,41.41098
749,Llamber,"C. FUSINA, 5","Sant Pere, Santa Caterina i la Ribera",MEDITERRANEO,Abierto,Si,9.0,9.2,93,35,2.18304,41.38639
750,Lokal,"C. BRUC, 118",la Dreta de l'Eixample,ESPAÑOL,Abierto,Si,2.25,9.5,629,20,2.16713,41.3963
751,Lokal,"C. MARINA, 19",la Barceloneta,MEDITERRANEO,Cerrado,Si,32.0,0.0,0,30,2.19657,41.38711
752,Lolo mes que vins,"C. RIEGO, 18",Sants,MEDITERRANEO,None,No,None,9.1,282,20,2.13842,41.37664
753,Lomo Alto,"C. ARAGO, 283",la Dreta de l'Eixample,ASADOR,None,No,None,8.7,634,65,2.16653,41.39363
754,Londres2,"C. MALLORCA, 532",el Camp de l'Arpa del Clot,MEDITERRANEO,None,Si,5.7,0.0,0,15,2.182,41.40828
755,Lonja de Tapas - Pla de Palau,"PLA. PALAU, 7","Sant Pere, Santa Caterina i la Ribera",MEDITERRANEO,None,Si,18.0,6.2,51,16,2.18286,41.3833
756,Los Bellota Sagrada Familia,"C. MARINA, 298",la Sagrada Família,EXTREMEÑO,Abierto,Si,4.5,0.0,0,26,2.17368,41.40521
757,Los Caracoles,"C. ESCUDELLERS, 14",el Barri Gòtic,MEDITERRANEO,Abierto,No,None,9.1,935,35,2.17648,41.37971
758,Lucuma & Camote - Icària,"AV. ICARIA, 132",la Vila Olímpica del Poblenou,PERUANO,Abierto,Si,8.55,9.4,874,30,2.19532,41.38947
759,Lucuma & Camote - Peru Boutique,"C. ARIBAU, 158",l'Antiga Esquerra de l'Eixample,PERUANO,Abierto,Si,3.45,0.0,0,25,2.15435,41.39228
760,Luigi Ristorante,"C. ROGER DE LLURIA, 50",la Dreta de l'Eixample,Sin información,Abierto,Si,11.4,9.2,196,25,2.16945,41.39285
761,Luna de Istanbul,"C. GRAN DE GRACIA, 160",la Vila de Gràcia,INDIO,None,No,None,0.0,0,20,2.15298,41.40225
762,Luris II,"C. PAU CLARIS, 139",la Dreta de l'Eixample,JAPONES,Abierto,Si,7.22,0.0,0,12,2.16574,41.39362
763,M restaurante japones,"C. GRAN DE GRACIA, 180",la Vila de Gràcia,JAPONES,None,No,None,9.3,10,20,2.15252,41.40288
764,M2 Gluten Free,"AV. DIAGONAL, 505",les Corts,MEDITERRANEO,Abierto,Si,4.5,8.9,1447,22,2.14165,41.3916
765,MAAI - REAL FOOD,"C. REGAS, 30",Sant Gervasi - Galvany,Sin información,Cerrado,No,None,9.7,95,15,2.15091,41.39951
766,MOOD Rooftop Bar - Hotel The One,"C. PROVENÇA, 277",la Dreta de l'Eixample,ESPAÑOL,None,No,None,0.0,0,35,2.16317,41.39616
767,MR KAO - Hotel Claris,"C. VALENCIA, 271",la Dreta de l'Eixample,CHINO,None,Si,3.45,0.0,0,35,2.16544,41.39443
768,Machete - El Born,"PLA. PALAU, 12","Sant Pere, Santa Caterina i la Ribera",LATINO,None,Si,2.4,0.0,0,20,2.18328,41.38338
769,Machete - Gòtic,"C. AMPLE, 20",el Barri Gòtic,LATINO,Abierto,No,None,0.0,0,20,2.17977,41.38011
770,Madrelievito - Barcelona,"C. LLACUNA, 1",el Poblenou,Sin información,Abierto,No,None,0.0,0,15,2.2033,41.3977
771,Maillard,"C. EQUADOR, 47",les Corts,MEDITERRANEO,None,Si,6.75,0.0,0,10,2.13962,41.38617
772,Maison Carne,"C. MALLORCA, 204",l'Antiga Esquerra de l'Eixample,Sin información,Abierto,No,None,9.7,265,25,2.15833,41.39031
773,Majide,"C. TALLERS, 48",el Raval,AUTOR,None,No,None,9.1,828,40,2.16749,41.38493
774,Majlis Gastronòmic,"C. VALENCIA, 363",la Dreta de l'Eixample,ARABE,None,Si,4.5,9.6,5,17,2.17135,41.39888
775,Makekosa - Pizzería Gourmet,"C. FLORIDABLANCA, 102",Sant Antoni,ITALIANO,Abierto,No,None,9.5,437,27,2.16016,41.37961
776,Makkoli,"C. DIPUTACIO, 88",la Nova Esquerra de l'Eixample,COREANO,Abierto,Si,2.4,0.0,0,25,2.15436,41.38071
777,Mako,"C. CONSELL DE CENT, 255",l'Antiga Esquerra de l'Eixample,JAPONES,Cerrado,Si,8.55,9.3,1732,25,2.15981,41.38679
778,Malumore - Cocina honesta,"C. SALVA, 22",el Poble-sec,ITALIANO,None,No,None,9.5,21,30,2.16623,41.37399
779,Mamarosa Beach,"PG. MARE NOSTRUM, 19",la Barceloneta,Sin información,None,No,None,8.7,1478,28,2.18986,41.36915
780,Mamy Ildy,"C. FLORIDABLANCA, 148",Sant Antoni,Sin información,None,Si,5.7,9.4,371,14,2.16289,41.38168
781,Manairó,"C. DIPUTACIO, 424",el Fort Pienc,MEDITERRANEO,None,No,None,9.3,1156,60,2.1795,41.3996
782,Manga Rosa,"C. CONSELL DE CENT, 220",l'Antiga Esquerra de l'Eixample,BRASILEÑO,Abierto,Si,10.8,0.0,0,15,2.15892,41.38585
783,Mano Rota,"C. CREU DELS MOLERS, 4",el Poble-sec,MEDITERRANEO,None,No,None,9.4,917,50,2.16188,41.37444
784,Manso Pizzeria,"C. CALABRIA, 44",Sant Antoni,Sin información,Cerrado,Si,4.5,0.0,0,20,2.159,41.37682
785,Manzoku ramen&sushi,"C. ESPRONCEDA, 126",el Poblenou,JAPONES,Abierto,Si,3.45,9.8,10,14,2.20296,41.40671
786,Marcelino16,"C. DIPUTACIO, 41",la Nova Esquerra de l'Eixample,GALLEGO,Abierto,Si,8.55,9.2,30,18,2.1522,41.37938
787,Marea Alta,"AV. DRASSANES, 6",el Raval,MEDITERRANEO,Cerrado,No,None,0.0,0,30,2.1751,41.37651
788,Margarita Blue,"C. JOSEP ANSELM CLAVE, 6",el Barri Gòtic,MEXICANO,Abierto,No,None,9.6,245,17,2.17841,41.37797
789,Margherita,"C. ROSSELLO, 253",la Dreta de l'Eixample,ITALIANO,Abierto,Si,4.5,9.2,632,22,2.15953,41.39512
790,Marina - Hotel Arts Barcelona,"C. MARINA, 19",la Barceloneta,MEDITERRANEO,Cerrado,Si,32.0,8.9,27,30,2.19657,41.38711
791,Marina Bay,"C. MARINA, 19",la Barceloneta,ARROCERIA,Cerrado,Si,32.0,0.0,0,27,2.19657,41.38711
792,Marinella,"C. CLOT, 179",el Clot,ITALIANO,None,Si,11.1,0.0,0,14,2.19033,41.41389
793,Maris&co,"C. ARAGO, 497",la Sagrada Família,ESPAÑOL,Cerrado,Si,12.0,0.0,0,20,2.18127,41.40474
794,Mariscco - Córcega,"C. CORSEGA, 272",la Dreta de l'Eixample,MARISQUERIA,Abierto,Si,6.75,9.2,282,30,2.15665,41.39437
795,Market,"C. COMTE BORRELL, 68",Sant Antoni,MEDITERRANEO,Abierto,No,None,8.6,80,20,2.16051,41.37914
796,Martina's Restaurant,"MOLL ESPANYA, 5",el Barri Gòtic,ARROCERIA,Abierto,No,None,0.0,0,27,2.18239,41.37545
797,Masa Madre,"C. DIPUTACIO, 301",la Dreta de l'Eixample,ARABE,None,Si,4.5,9.4,8,15,2.16945,41.39237
798,Masaya,"C. PAU CLARIS, 128",la Dreta de l'Eixample,LIBANES,Abierto,Si,8.55,9.3,442,20,2.16697,41.39301
799,Match from Scratch,"C. ARIBAU, 146",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Cerrado,No,None,9.7,14,23,2.15478,41.392
800,Mató de Pedralbes,"C. BISBE CATALA, 10",Pedralbes,MEDITERRANEO,None,No,None,0.0,0,35,2.11398,41.39545
801,Maur - Muntaner,"C. MUNTANER, 121",l'Antiga Esquerra de l'Eixample,Sin información,Sin información,No,None,0.0,0,25,2.15515,41.38971
802,Maur - Urgell,"C. COMTE URGELL, 9",Sant Antoni,Sin información,None,Si,7.95,0.0,0,25,2.16141,41.37982
803,Maurizio 2.0,"C. MUNTANER, 208",l'Antiga Esquerra de l'Eixample,Sin información,Abierto,No,None,9.2,288,24,2.15092,41.39321
804,Mavi's,"C. ARIBAU, 18",l'Antiga Esquerra de l'Eixample,AMERICANO,Abierto,No,None,0.0,0,15,2.16219,41.38641
805,Mayura,"C. GIRONA, 57",la Dreta de l'Eixample,INDIO,Abierto,Si,17.1,9.4,2294,25,2.17221,41.3939
806,Mazah,"G.V.. CORTS CATALANES, 618",la Dreta de l'Eixample,MEDITERRANEO,Abierto,No,None,9.0,526,30,2.16658,41.38783
807,Mealisa,"AV. DIAGONAL, 501",les Corts,MEDITERRANEO,Abierto,Si,6.75,0.0,0,15,2.14207,41.39173
808,Meating,"C. AMIGO, 68",Sant Gervasi - Galvany,MEDITERRANEO,None,Si,4.8,9.6,229,25,2.14247,41.39701
809,Medio o Pinto,"C. CALVET, 27",Sant Gervasi - Galvany,VENEZOLANO,Abierto,Si,4.95,9.3,332,25,2.14333,41.39473
810,Mediterranean Original,"AV. DIAGONAL, 208",el Parc i la Llacuna del Poblenou,Sin información,Abierto,Si,43.56,0.0,0,10,2.19252,41.40497
811,Mediterrani,"C. DIPUTACIO, 73",la Nova Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,7.22,0.0,0,23,2.15445,41.38108
812,Mediterrània - Hotel Zenit Barcelona,"C. SANTALO, 8",Sant Gervasi - Galvany,MEDITERRANEO,Abierto,No,None,0.0,0,25,2.14688,41.39494
813,Meet,"C. CONSELL DE CENT, 401",la Dreta de l'Eixample,JAPONES,Abierto,Si,6.75,0.0,0,20,2.17108,41.39527
814,Mei Hua,"C. BALMES, 301",Sant Gervasi - Galvany,CHINO,Abierto,No,None,0.0,0,18,2.14571,41.40214
815,Melic del Gòtic,"C. MONTSIO, 7",el Barri Gòtic,MEDITERRANEO,None,No,None,9.0,23,20,2.174,41.38586
816,Melo-Jia,"C. CORSEGA, 250",l'Antiga Esquerra de l'Eixample,CHINO,Abierto,No,None,0.0,0,20,2.15551,41.39351
817,Meluka,"C. CREU COBERTA, 33",Hostafrancs,JAPONES,Abierto,Si,4.37,0.0,0,20,2.14707,41.37506
818,Memorias de China,"C. LINCOLN, 17",Sant Gervasi - Galvany,CHINO,Abierto,No,None,8.9,807,30,2.14993,41.40047
819,Menssana,"C. SARDENYA, 48",la Vila Olímpica del Poblenou,MEDITERRANEO,Abierto,Si,3.45,0.0,0,15,2.18996,41.39099
820,Meraviglioso,"C. VALENCIA, 28",la Nova Esquerra de l'Eixample,ITALIANO,Abierto,No,None,9.6,328,22,2.14665,41.38002
821,Mercer,"C. LLEDO, 7",el Barri Gòtic,MEDITERRANEO,Abierto,No,None,0.0,0,65,2.17893,41.38265
822,Metric Market,"AV. DIAGONAL, 505",les Corts,MEDITERRANEO,Abierto,Si,4.5,8.9,1637,25,2.14165,41.3916
823,MexGal,"AV. FRANCESC FERRER I GUARDIA, 13",el Poble-sec,FUSION,None,No,None,9.4,89,35,2.14674,41.36914
824,Mexcla,"C. RAMON Y CAJAL, 35",la Vila de Gràcia,MEXICANO,Cerrado,No,None,9.1,991,32,2.15892,41.40284
825,Mi Burrito y Yo,"C. PAS DE ENSENYANÇA, 2",el Barri Gòtic,Sin información,None,No,None,8.8,160,25,2.17681,41.38195
826,Mi Restaurante,"C. CARME, 74",el Raval,JAPONES,None,No,None,0.0,0,15,2.16785,41.38092
827,Mian,"C. GIRONA, 49",la Dreta de l'Eixample,CHINO,Abierto,Si,10.8,8.8,284,15,2.17265,41.39356
828,Miguelitos,"AV. DIAGONAL, 405",la Dreta de l'Eixample,MEDITERRANEO,None,Si,12.96,0.0,0,25,2.15611,41.39545
829,Mil hojas,"C. MUNTANER, 423",Sant Gervasi - Galvany,MEDITERRANEO,Cerrado,Si,4.5,0.0,0,20,2.1408,41.40052
830,Milo Grill,"C. BALMES, 127",l'Antiga Esquerra de l'Eixample,ARGENTINO,Abierto,No,None,8.8,7344,25,2.15783,41.39283
831,Minamo,"C. BRUC, 65",la Dreta de l'Eixample,JAPONES,None,No,None,0.0,0,98,2.1701,41.39378
832,Mirabé,"C. MANUEL ARNUS, 2",Sant Gervasi - la Bonanova,FUSION,None,No,None,8.9,2738,40,2.13215,41.41618
833,Miramar Club,"AV. MIRAMAR, 40",el Poble-sec,MEDITERRANEO,None,No,None,0.0,0,40,2.16694,41.36937
834,Miss Simona,"C. MALLORCA, 438",la Sagrada Família,ITALIANO,None,Si,2.4,9.1,15,15,2.17711,41.40462
835,Miss Sushi Aribau,"C. ARIBAU, 39",l'Antiga Esquerra de l'Eixample,JAPONES,Abierto,Si,5.7,8.9,1202,20,2.16009,41.38767
836,Miu Taverna Japonesa,"C. ENRIC GRANADOS, 23",l'Antiga Esquerra de l'Eixample,JAPONES,None,Si,15.0,0.0,0,17,2.16135,41.38846
837,Miu japonés,"C. VALENCIA, 249",la Dreta de l'Eixample,JAPONES,None,No,None,9.1,400,24,2.16321,41.39277
838,Miyazaki Sushi,"C. VALENCIA, 11",la Nova Esquerra de l'Eixample,JAPONES,Abierto,Si,9.0,8.9,324,15,2.14636,41.38006
839,MoMa,"C. RIEGO, 25",Sants,MERCADO,None,No,None,0.0,0,25,2.13832,41.37656
840,Mogollon's,"AV. ICARIA, 131",la Vila Olímpica del Poblenou,Sin información,Abierto,Si,7.22,0.0,0,15,2.19492,41.3897
841,Molina,"PG. SANT GERVASI, 65",Sant Gervasi - la Bonanova,ESPAÑOL,None,Si,5.7,0.0,0,26,2.13812,41.41168
842,"Moments - Mandarin Oriental, Barcelona","PG. GRACIA, 38",la Dreta de l'Eixample,CREATIVO,Abierto,No,None,9.2,265,150,2.16666,41.3912
843,Momo,"C. AVINYO, 39",el Barri Gòtic,MEDITERRANEO,Abierto,No,None,0.0,0,20,2.17946,41.38021
844,MonDoré,"C. FLORIDABLANCA, 3",Sant Antoni,MEDITERRANEO,None,Si,6.75,8.9,520,23,2.15451,41.37563
845,Montesquiu,"C. MANDRI, 56",Sant Gervasi - la Bonanova,ESPAÑOL,Abierto,Si,9.0,9.0,919,30,2.13255,41.40464
846,Mordisco,"PTGE. CONCEPCIO, 10",la Dreta de l'Eixample,ESPAÑOL,None,No,None,0.0,0,25,2.16001,41.39458
847,Mosaic Restaurant,"AV. DIAGONAL, 589",les Corts,ESPAÑOL,Abierto,No,None,0.0,0,32,2.13139,41.38892
848,Mozzafiato,"PG. FABRA I PUIG, 266",el Turó de la Peira,ITALIANO,Abierto,No,None,9.5,98,25,2.17424,41.43047
849,Mucho Pizzeria,"C. MARIA CUBI, 201",Sant Gervasi - Galvany,INSIDER,None,No,None,9.4,242,15,2.14401,41.39487
850,Muntaner 296,"C. MUNTANER, 296",Sant Gervasi - Galvany,ESPAÑOL,Abierto,Si,6.75,7.7,46,20,2.14627,41.39669
851,Murivecchi,"C. PRINCESA, 59","Sant Pere, Santa Caterina i la Ribera",INSIDER,Abierto,No,None,9.1,804,23,2.18277,41.38734
852,Mussol - Aragó,"C. ARAGO, 261",la Dreta de l'Eixample,CATALAN,None,Si,11.4,8.4,309,20,2.1642,41.39186
853,Mussol - C.C. Arenas,"G.V.. CORTS CATALANES, 373",la Nova Esquerra de l'Eixample,CATALAN,Abierto,Si,42.75,8.5,163,20,2.14997,41.37603
854,Mussol - C.C. Glòries,"AV. DIAGONAL, 208",el Parc i la Llacuna del Poblenou,CATALAN,Abierto,Si,43.56,8.4,265,20,2.19252,41.40497
855,Mussol - Casp,"C. CASP, 19",la Dreta de l'Eixample,CATALAN,None,Si,6.75,8.7,321,20,2.17053,41.38938
856,Món Viet,"C. SEPULVEDA, 94",Sant Antoni,VIETNAMITA,Abierto,No,None,9.3,968,17,2.15732,41.37918
857,NH Collection Pódium - Bistro,"C. BAILEN, 4",la Dreta de l'Eixample,MEDITERRANEO,None,Si,11.25,0.0,0,25,2.17768,41.39171
858,NOW - Not Only Wine,"C. HERCEGOVINA, 28",Sant Gervasi - Galvany,MEDITERRANEO,None,Si,62.4,9.1,839,18,2.14009,41.40318
859,Nagano,"AV. PARAL·LEL, 76",el Raval,JAPONES,None,No,None,0.0,0,16,2.16831,41.37518
860,Nakashita,"C. REC COMTAL, 15","Sant Pere, Santa Caterina i la Ribera",JAPONES,Abierto,No,None,8.9,1062,33,2.17987,41.38996
861,Namaste II,"C. VILLARROEL, 70",l'Antiga Esquerra de l'Eixample,INDIO,None,No,None,0.0,0,30,2.15878,41.38385
862,Napa,"C. ARIBAU, 151",l'Antiga Esquerra de l'Eixample,AMERICANO,None,Si,5.4,9.5,638,50,2.15357,41.39264
863,Narciso,"C. PRINCESA, 9","Sant Pere, Santa Caterina i la Ribera",ITALIANO,None,No,None,0.0,3,20,2.17939,41.38458
864,Navarra,"PG. GRACIA, 4",la Dreta de l'Eixample,MEDITERRANEO,None,Si,31.5,0.0,0,28,2.17013,41.38835
865,Nectari by Jordi Esteve,"C. VALENCIA, 28",la Nova Esquerra de l'Eixample,MEDITERRANEO,Abierto,No,None,9.4,685,70,2.14665,41.38002
866,Negresco,"C. ROGER DE LLURIA, 16",la Dreta de l'Eixample,MEDITERRANEO,None,Si,10.07,9.5,759,30,2.17262,41.3904
867,Negro,"AV. DIAGONAL, 640",les Corts,MEDITERRANEO,Abierto,Si,18.0,0.0,0,35,2.1358,41.39105
868,Negronix Bar,"C. TRINXANT, 125",Navas,INTERNACIONAL,Abierto,Si,6.75,9.0,48,20,2.18137,41.41759
869,Nelumbo,"C. ARIBAU, 32",l'Antiga Esquerra de l'Eixample,ASIATICO,Abierto,Si,5.7,7.4,217,27,2.16123,41.38713
870,New Himali,"C. CORSEGA, 416",la Dreta de l'Eixample,INDIO,None,Si,5.7,9.3,82,15,2.16496,41.40063
871,New York,"C. GARCILASO, 165",el Congrés i els Indians,AMERICANO,Abierto,Si,10.5,0.0,0,18,2.18181,41.42324
872,New franvic,"PG. SANTA COLOMA, 33",Sant Andreu,Sin información,Abierto,Si,6.75,0.0,0,15,2.19031,41.44538
873,Nice Spice,"C. PUJADES, 207",el Poblenou,INDIO,Abierto,Si,4.5,0.0,0,12,2.2024,41.40313
874,Nikkei 103,"C. ARIBAU, 33",l'Antiga Esquerra de l'Eixample,JAPONES,Abierto,No,None,8.6,1309,35,2.16038,41.38749
875,Nogal Casa de Comidas,"C. DIPUTACIO, 412",el Fort Pienc,MEDITERRANEO,None,Si,3.45,8.1,671,20,2.17866,41.39896
876,Nolita,"C. LLULL, 230",el Poblenou,AMERICANO,Abierto,Si,3.45,8.9,560,15,2.20463,41.40275
877,Nonna Maria - Hotel Meliá Sarriá,"AV. SARRIA, 50",les Corts,Sin información,None,No,None,0.0,0,26,2.14176,41.39093
878,Nonna Sara,"C. CORSEGA, 225",l'Antiga Esquerra de l'Eixample,ITALIANO,Abierto,Si,4.37,0.0,0,20,2.15297,41.39186
879,Nonono,"PTGE. LLUIS PELLICER, 12",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Cerrado,No,None,0.0,0,25,2.14957,41.39312
880,Noodle rice,"G.V.. CORTS CATALANES, 298",la Font de la Guatlla,ASIATICO,Abierto,Si,12.15,9.4,18,15,2.14589,41.37227
881,Nora BCN,"AV. DIAGONAL, 593",les Corts,MEDITERRANEO,Abierto,Si,18.0,0.0,0,40,2.13089,41.38877
882,Notorious Jazz Café,"C. FELIPE DE PAZ, 8",la Maternitat i Sant Ramon,ESPAÑOL,Abierto,Si,9.0,0.0,0,26,2.12583,41.37955
883,Nubar,"PG. GRACIA, 53",la Dreta de l'Eixample,MEDITERRANEO,None,Si,31.49,0.0,0,30,2.16401,41.39243
884,Nuestra brasa Garibaldi,"C. VILADOMAT, 267",la Nova Esquerra de l'Eixample,Sin información,Abierto,Si,2.0,0.0,0,18,2.14741,41.38699
885,O Ferrado,"C. NUMANCIA, 75",les Corts,GALLEGO,Abierto,Si,4.5,0.0,0,20,2.13746,41.38452
886,O'Canto,"C. DIPUTACIO, 23",la Nova Esquerra de l'Eixample,GALLEGO,Abierto,Si,15.75,0.0,0,25,2.1518,41.37906
887,O'Rincón da Terra,C. COMTES DE BELL,Sants,GALLEGO,None,Si,22.5,7.8,14,25,2.13797,41.37937
888,OAXACA Cuina Mexicana,"PLA. PALAU, 19","Sant Pere, Santa Caterina i la Ribera",MEXICANO,None,Si,22.5,9.1,1012,31,2.18404,41.38209
889,OH BO,"C. DOCTOR FLEMING, 15",les Tres Torres,MEDITERRANEO,Abierto,Si,22.5,9.1,813,25,2.135,41.3932
890,ORIO BCN Born,"AV. FRANCESC CAMBO, 23","Sant Pere, Santa Caterina i la Ribera",VASCO,Abierto,Si,18.0,8.4,53,30,2.17795,41.38662
891,Oassis Natural Cooking,"PG. GRACIA, 24",la Dreta de l'Eixample,Sin información,None,Si,59.22,9.1,368,15,2.16791,41.39019
892,Ocho Bcn,"C. TAMARIT, 109",Sant Antoni,ARGENTINO,None,Si,9.0,9.4,653,20,2.15723,41.37597
893,Ocho Patas,"AV. JOSEP TARRADELLAS, 11",Sants,GALLEGO,Abierto,Si,6.75,8.5,1352,18,2.14204,41.38154
894,Oda - Casino Barcelona,"C. MARINA, 19",la Barceloneta,AUTOR,Cerrado,Si,32.0,0.0,0,30,2.19657,41.38711
895,Oishi,"C. ARIBAU, 254",Sant Gervasi - Galvany,JAPONES,Abierto,Si,3.3,0.0,0,20,2.14892,41.39648
896,Okinawa Sushi,"AV. DIAGONAL, 40",Diagonal Mar i el Front Marítim del Poblenou,JAPONES,Abierto,Si,11.25,0.0,0,25,2.21251,41.41029
897,Oleum Restaurant,"C. MIRADOR PALAU NACIONAL, 6",el Poble-sec,MEDITERRANEO,None,No,None,9.2,57,12,2.15338,41.36888
898,Olivia Garden,"C. LLACUNA, 150",Provençals del Poblenou,MEDITERRANEO,Abierto,Si,15.75,8.6,243,15,2.19313,41.40563
899,Once Upon a Time,"C. MANDRI, 32",Sant Gervasi - la Bonanova,MEDITERRANEO,Abierto,Si,7.88,8.3,540,18,2.13411,41.40318
900,Only sushi,"C. CORSEGA, 219",l'Antiga Esquerra de l'Eixample,JAPONES,Cerrado,Si,5.7,9.1,105,20,2.15235,41.39139
901,Open Bar,"C. ROGER DE LLURIA, 155",la Dreta de l'Eixample,MEDITERRANEO,Abierto,Si,6.75,0.0,0,15,2.162,41.39815
902,Ophelia,"C. VALENCIA, 350",la Dreta de l'Eixample,MEDITERRANEO,None,Si,5.7,9.0,87,35,2.16955,41.39727
903,Oporto,"C. SARDENYA, 296",la Sagrada Família,PORTUGUES,Abierto,Si,5.2,9.5,614,25,2.17526,41.40207
904,Orea,"C. VALENCIA, 193",l'Antiga Esquerra de l'Eixample,INTERNACIONAL,Cerrado,Si,4.5,9.3,15,30,2.15889,41.38951
905,Oria de Martín Berasategui,"PG. GRACIA, 75",la Dreta de l'Eixample,MEDITERRANEO,None,No,None,9.6,1406,60,2.16223,41.39394
906,Ornina,"AV. DIAGONAL, 593",les Corts,MERCADO,Abierto,Si,18.0,0.0,0,49,2.13089,41.38877
907,Osmosis,"C. ARIBAU, 100",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Abierto,No,None,9.3,2255,55,2.15707,41.39027
908,Ostaia Cucina Italiana,"C. ARIBAU, 58",l'Antiga Esquerra de l'Eixample,ITALIANO,None,Si,2.85,9.5,813,20,2.15938,41.38848
909,Osteria da Rudy,"C. MUNTANER, 113",l'Antiga Esquerra de l'Eixample,Sin información,Abierto,Si,7.22,9.5,108,20,2.15553,41.38946
910,Ostras Pedrín,"C. CORSEGA, 225",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,4.37,0.0,0,30,2.15297,41.39186
911,Ovante,"PG. FABRA I PUIG, 95",Vilapicina i la Torre Llobeta,AMERICANO,Abierto,Si,14.85,9.4,230,18,2.18269,41.43006
912,Oxugo3,"C. TAMARIT, 127",Sant Antoni,ESPAÑOL,None,Si,4.5,0.0,0,20,2.15832,41.37679
913,PALO VERDE,"C. CORSEGA, 232",l'Antiga Esquerra de l'Eixample,MEDITERRANEO,Abierto,Si,2.25,9.5,101,30,2.15437,41.39266
914,PORK... boig per tu,"C. CONSOLAT DE MAR, 15","Sant Pere, Santa Caterina i la Ribera",MEDITERRANEO,None,Si,32.0,9.3,230,25,2.18191,41.38217
915,Pacífic Fusió,"AV. DIAGONAL, 42",Diagonal Mar i el Front Marítim del Poblenou,ESPAÑOL,Abierto,Si,9.0,9.2,18,15,2.21251,41.41029
