Outlet,St. type,Street,Number,Postal code,Latitude,Longitude,Municipality,Situation,Date
TAPAS LAFUENTE,CR,GRAN VIA DE LES CORTS CATALANES,931,08018,41.40986,2.19477,BARCELONA,Abierto con normalidad,2021-04-27
"L'ART DEL PA LLURIA",CL,GRAN VIA DE LES CORTS CATALANES,662,08010,41.39122,2.17095,BARCELONA,Cierre definitivo por Covid,Sin survey
GRANIER,CR,GIRONA,110,08009,41.39657,2.16883,BARCELONA,Abierto con normalidad,2021-04-29
MESON MISTRAL,AV,MISTRAL,58,08015,41.37602,2.15403,BARCELONA,Abierto con normalidad,2021-04-22
SUPERMERCAT CLARET,CR,SANT ANTONI MARIA CLARET,24,08037,41.40384,2.16463,BARCELONA,Abierto con normalidad,2021-04-27
THANKS DATA ALIM,CR,POETA CABANYES,32,08004,41.37361,2.16524,BARCELONA,Abierto con normalidad,2021-04-30
ALIMENTACION ESTADELLA,CR,ESTADELLA,51,08030,41.43535,2.20356,BARCELONA,Abierto con normalidad,2021-04-23
MORRO FI,AV,DIAGONAL,557,08029,41.38999,2.13482,BARCELONA,Abierto con normalidad,2021-04-27
LA PIAZZENZA,AV,GAUDI,27,08025,41.40657,2.17429,BARCELONA,Abierto con normalidad,2021-01-18
EL MESONET,CR,SEPULVEDA,11,08015,41.37584,2.15270,BARCELONA,Abierto con normalidad,2021-04-29
"GRECO'S OF BROOKLYN",CR,MALLORCA,308,08037,41.39726,2.16708,BARCELONA,Cerrado temporalmente por COVID,2021-04-29
CAFE DEL MUSEO,AV,"L'ESTADI",60,08038,41.36660,2.15740,BARCELONA,Cierre definitivo por Covid,Sin survey
HOTEL ADAGIO,CR,FERRAN,21,08002,41.38106,2.17510,BARCELONA,Abierto con normalidad,2020-07-22
EL DELISH BAR,CR,VILLARROEL,214,08036,41.39194,2.14787,BARCELONA,Abierto con normalidad,2021-04-29
BAR REST GALDRIC,PTG,VIRREINA,2,08001,41.38229,2.17115,BARCELONA,Abierto con normalidad,2021-04-28
RTE PIZZERIA VIRONA 4,CR,CONCILI DE TRENTO,48,08018,41.41163,2.19308,BARCELONA,Abierto con normalidad,2021-04-26
BAR DANKO,CL,GRAN VIA DE LES CORTS CATALANES,1029,08020,41.41411,2.20049,BARCELONA,Abierto con normalidad,2021-01-25
BAR CASA TINO,CR,LOPE DE VEGA,113,08005,41.40529,2.20247,BARCELONA,Abierto con normalidad,2021-04-28
SUPERMERCAT FRUITES I VERDURES,CR,HUELVA,68,08020,41.41735,2.19613,BARCELONA,Abierto con normalidad,2021-03-15
SUPERMERCAT 8,CRT,BORDETA,8,08014,41.37401,2.14728,BARCELONA,Abierto con normalidad,2021-04-29
MIAN SUPERMERCAT,CR,JOAQUIN COSTA,32,08001,41.38226,2.16609,BARCELONA,Abierto con normalidad,2021-04-23
ALIMENTACIÓN G. MOON LAIET 52,VIA,LAIETANA,52,08003,41.38706,2.17467,BARCELONA,Abierto con normalidad,2021-04-28
BRACAFE,PS,FABRA I PUIG,296,08031,41.43036,2.17075,BARCELONA,Abierto con normalidad,2021-03-25
TRAGALDABAS,CL,MALLORCA,96,08029,41.38543,2.15140,BARCELONA,Abierto con normalidad,2021-04-28
CHIRINGUITO 2 PLAZA CATALUÑA,CR,NOU DE DULCE,8,08001,41.38070,2.16399,BARCELONA,Cierre definitivo por Covid,2020-11-02
SUPERMERCAT 24H,CR,CORSEGA,576,08025,41.40803,2.17461,BARCELONA,Abierto con normalidad,2021-04-26
SAI MINI MARKET,CR,VILADOMAT,140,08015,41.38156,2.15483,BARCELONA,Abierto con normalidad,2021-04-29
PIZZERIA DE MICHELLE,CR,CONSELL DE CENT,336,08009,41.39288,2.16807,BARCELONA,Abierto con normalidad,2021-04-26
PANINO SILVESTRE,CR,MAJOR DE SARRIA,92,08017,41.39897,2.12217,BARCELONA,Abierto con normalidad,2021-04-27
LA BURRATA RESTAURANTE,CR,BALMES,283,08006,41.40101,2.14788,BARCELONA,Cierre definitivo por Covid,2020-08-25
ALIMENTACION TOT AL ARC,PS,LLUIS COMPANYS,17,08003,41.39083,2.18019,BARCELONA,Abierto con normalidad,2021-04-27
PIZZERIA TANO,CR,ROGER DE LLURIA,114,08037,41.39646,2.16445,BARCELONA,Cierre definitivo por Covid,Sin survey
"L'ATELIER",CR,JONCAR,29,08005,41.40107,2.20427,BARCELONA,Abierto con normalidad,2021-04-26
ROSTISSERIA SANT ANDREU,CR,BORRIANA,132,08030,41.43123,2.19512,BARCELONA,Abierto con normalidad,2021-03-08
ALIMENTACIO NACIO,CR,NACIO,69,08026,41.41423,2.18280,BARCELONA,Abierto con normalidad,2021-04-27
CAFETERÍA CELSO,CR,ESPRONCEDA,340,08027,41.41782,2.18807,BARCELONA,Abierto con normalidad,2021-04-22
CAL CISTELLER,CR,BILBAO,21,08005,41.40103,2.20602,BARCELONA,Abierto con normalidad,2021-04-29
ALIMENTACION CASPE,CR,CASP,176,08013,41.39756,2.18163,BARCELONA,Abierto con normalidad,2021-04-30
SUPERMERCAT24H,CR,PAU CLARIS,183,08037,41.39655,2.16210,BARCELONA,Abierto con normalidad,2021-04-26
"BAR GUTY'S",CR,MARROC,11,08018,41.40633,2.19793,BARCELONA,Abierto con normalidad,2021-04-26
ALI BABA DONER KEBAB,CR,BILBAO,45,08005,41.40208,2.20461,BARCELONA,Abierto con normalidad,2021-04-16
BAR BILBAO,CR,BILBAO,18,08005,41.40235,2.20486,BARCELONA,Abierto con normalidad,2021-04-21
BAR EL VOY VOY,PS,VERDUM,2,08016,41.43565,2.17227,BARCELONA,Abierto con normalidad,2021-04-28
BAR IMPAS,AV,MERIDIANA,574,08030,41.44245,2.18662,BARCELONA,Abierto con normalidad,2021-03-09
CAFE BAR SANT ELIAS,CR,SANT ELIES,12,08006,41.40156,2.14516,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-27
KIOSKO LAURA,CR,SANT ADRIA,136,08030,41.43611,2.20428,BARCELONA,Abierto con normalidad,2021-04-29
"AMICS DE L'ART",CR,PARIS,133,08036,41.39058,2.14919,BARCELONA,Abierto con normalidad,2021-04-28
FORN DE PA  TOÑI,CR,OLZINELLES,103,08014,41.37055,2.13757,BARCELONA,Abierto con normalidad,2021-04-16
FRUTERIA DYLAN,CR,FRANCESC PEREZ-CABRERO,19,08021,41.39445,2.13872,BARCELONA,Abierto con normalidad,2021-04-29
ELA Y EVA ALIMENTACION,CR,ROSSELLO,58,08029,41.38603,2.14768,BARCELONA,Abierto con normalidad,2021-04-30
FARFALINA,CR,VILLARROEL,226,08036,41.39230,2.14742,BARCELONA,Abierto con normalidad,2021-04-23
RESTAURANTE TOTORA,CR,CORSEGA,235,08036,41.39206,2.15339,BARCELONA,Cerrado estacional,Sin survey
EL FORNET DE CAN ROMA,CR,PUJADES,316,08019,41.40688,2.20760,BARCELONA,Abierto con normalidad,2021-04-29
BAR PARIS,CR,TURO DE LA TRINITAT,56,08033,41.45111,2.19071,BARCELONA,Abierto con normalidad,2021-01-12
ALIMENTACION OLLER,PZ,NARCIS OLLER,3,08006,41.39718,2.15541,BARCELONA,Abierto con normalidad,2021-04-28
LOCAL RECREATIVA EL PERRO DE PATERN,VIA,BARCINO,81,08033,41.44989,2.19250,BARCELONA,Cierre definitivo por Covid,2020-10-05
RTE. EL FOC,PS,JOAN DE BORBO COMTE DE BARCELONA,66,08003,41.37604,2.18887,BARCELONA,Abierto con normalidad,2021-04-27
CAFETERIA BAR LES NINETES,CR,AMERICA,25,08041,41.41578,2.17763,BARCELONA,Abierto con normalidad,2021-04-26
CASA GUINART,CL,LA RAMBLA,95,08002,41.38238,2.17212,BARCELONA,Cerrado temporalmente por COVID,2021-04-28
PIZZA TORRE,CR,FONTRODONA,1,08004,41.37472,2.16768,BARCELONA,Abierto con normalidad,2021-04-30
CAMPO DE FUTBOL TRINITAT,VIA,BARCINO,104,08033,41.44809,2.19198,BARCELONA,Abierto con normalidad,2021-04-21
BAR VICTORIA,PS,FABRA I PUIG,318,08031,41.43038,2.16981,BARCELONA,Abierto con normalidad,2021-04-28
RESTAURANTE GIORGIO BARCELONA,CR,AUSIAS MARC,3,08010,41.38994,2.17374,BARCELONA,Abierto con normalidad,2021-04-29
IAKNI,CR,VILAMARI,3,08015,41.37523,2.15398,BARCELONA,Cerrado temporalmente por COVID,2021-03-24
RTE EL BURRO CHILANGO,CR,CINCA,86,08030,41.44033,2.19201,BARCELONA,Abierto con normalidad,2021-04-28
JUMILLA,CR,ARTESA DE SEGRE,6,08022,41.40324,2.13472,BARCELONA,Abierto con normalidad,2021-02-03
RTE MINE,CR,BEJAR,66,08014,41.37812,2.14434,BARCELONA,Cierre definitivo por Covid,2021-04-26
BARÇA SUPERMERCAT,CR,FELIPE DE PAZ,29,08028,41.37853,2.12460,BARCELONA,Abierto con normalidad,2021-04-30
CHILAM BALAM RTE,CR,INDUSTRIA,156,08025,41.40974,2.17467,BARCELONA,Cierre definitivo por Covid,2021-03-05
BAR RTE EL SENYORIO,CR,CORSEGA,607,08025,41.40843,2.17516,BARCELONA,Abierto con normalidad,2021-04-21
EL SOPAPU,CR,GINEBRA,22,08003,41.38173,2.18894,BARCELONA,Cierre definitivo por Covid,2021-04-12
IL DUOMO  LA MOLE,PZ,MOSSEN CLAPES,14,08030,41.44209,2.18717,BARCELONA,Abierto con normalidad,2021-04-28
BDG. ALIMENTACIO CONSTITUCIO,CR,CONSTITUCIO,95,08014,41.36955,2.13439,BARCELONA,Abierto con normalidad,2021-01-15
SUPER MARINA 191,CR,MARINA,191,08013,41.40039,2.17954,BARCELONA,Abierto con normalidad,2021-04-29
BONA COMPRA 3,CR,ROSER,51,08004,41.37270,2.16624,BARCELONA,Abierto con normalidad,2021-04-30
BOCALOCA,CR,PUIGCERDA,225,08020,41.41939,2.20407,BARCELONA,Abierto con normalidad,2021-04-29
ALIMENTACION XIN,CR,GRAN DE GRACIA,171,08012,41.40334,2.15221,BARCELONA,Abierto con normalidad,2021-04-28
DEL POBLE PLAZA SOL,PZ,SOL,21,08012,41.40165,2.15636,BARCELONA,Cierre definitivo por Covid,2021-04-28
BOPAN ALMACEN,CL,CAMP,80,08022,41.40440,2.13513,BARCELONA,Abierto con normalidad,2021-04-28
LA FONT DE LA CERVEZA,CR,CONSELL DE CENT,103,08015,41.38039,2.15148,BARCELONA,Abierto con normalidad,2021-04-23
DAVINCI,CR,DIPUTACIO,312,08009,41.39431,2.17223,BARCELONA,Abierto con normalidad,2021-04-28
99 % BURGUER BAR,CR,JOAN GUELL,207,08028,41.38627,2.12963,BARCELONA,Abierto con normalidad,2021-04-20
SUPERMERCAT COLON,AV,PARAL.LEL,17,08004,41.37461,2.17450,BARCELONA,Abierto con normalidad,2021-04-30
SUMA,CR,RADAS,32,08004,41.37252,2.16052,BARCELONA,Abierto con normalidad,2021-04-30
KACHAFRUIT MANUEL GIRONA,PS,MANUEL GIRONA,6,08034,41.38986,2.12021,BARCELONA,Abierto con normalidad,2021-04-26
FRUTAS IQBAL,CR,CANTABRIA,51,08020,41.42164,2.19879,BARCELONA,Abierto con normalidad,2021-04-26
NINE 9,CR,VALENCIA,334,08009,41.39647,2.16831,BARCELONA,Abierto con normalidad,2021-04-29
SUPER FRESC-2.,CR,TELEGRAF,30,08041,41.41683,2.17443,BARCELONA,Abierto con normalidad,2021-04-29
SUPER AUTOSERVEI LLURIA,CR,ROGER DE LLURIA,102,08037,41.39599,2.16507,BARCELONA,Cierre definitivo por Covid,Sin survey
RESTAURANTE PHI,CL,VALLESPIR,13,08014,41.37814,2.13796,BARCELONA,Abierto con normalidad,2021-04-23
MAS Q MENOS RAMBLA CATALUNYA,RB,CATALUNYA,94,08008,41.39324,2.16064,BARCELONA,Cerrado estacional,Sin survey
SUPER MARKET,CL,LLEIDA,11,08004,41.37370,2.15476,BARCELONA,Abierto con normalidad,2021-04-14
JARDINS,CR,LEPANT,339,08025,41.40813,2.17171,BARCELONA,Abierto con normalidad,2021-04-30
ESCOLA RAMON CASAS,CR,PLATI,6,08038,41.35836,2.13453,BARCELONA,Abierto con normalidad,2021-04-07
ESTUDIANTIL,CR,MELCIOR DE PALAU,147,08014,41.38134,2.13885,BARCELONA,Abierto con normalidad,2021-04-29
BALMES 21 RTE.,CR,BALMES,21,08007,41.38779,2.16461,BARCELONA,Abierto con normalidad,2021-04-28
BAR POLIDEP.HORTA,CR,FELIU I CODINA,27,08031,41.43351,2.16114,BARCELONA,Abierto con normalidad,2021-04-12
BAR L ANGEL,CR,MALLORCA,582,08026,41.41021,2.18443,BARCELONA,Abierto con normalidad,2021-04-27
ALIMENTACION,CR,MARQUES DE SENTMENAT,47,08029,41.38540,2.13770,BARCELONA,Abierto con normalidad,2021-04-27
FORN GRANIER SANT ANDREU,CR,GRAN DE SANT ANDREU,202,08030,41.43351,2.18934,BARCELONA,Abierto con normalidad,2021-04-27
PASTELERIA FILGUS,CR,ARIBAU,139,08036,41.39217,2.15435,BARCELONA,Cierre definitivo por Covid,Sin survey
BAR CAFETERÍA CA LAS NENAS,CR,CONCEPCION ARENAL,201,08030,41.42948,2.18458,BARCELONA,Cierre definitivo por Covid,Sin survey
RTE GALAICA,AV,MARE DE DEU DE MONTSERRAT,100,08024,41.41572,2.16846,BARCELONA,Abierto con normalidad,2021-04-26
EL BONIC,CL,VALENCIA,246,08007,41.39109,2.16115,BARCELONA,Cierre definitivo por Covid,2020-07-17
"RTE JOU'S",CR,LLULL,226,08005,41.40217,2.20370,BARCELONA,Abierto con normalidad,2021-04-27
CAFE PORTOBELLO,CR,NAPOLS,198,08013,41.39901,2.17461,BARCELONA,Abierto con normalidad,2021-04-30
LA MAROTECA,CL,ARIBAU,37,08011,41.38762,2.16027,BARCELONA,Abierto con normalidad,2021-01-19
LAS MUNS,CR,VERDI,29,08012,41.40382,2.15689,BARCELONA,Abierto con normalidad,2021-04-28
RTE. TRIPTIC,PS,LLUIS COMPANYS,6,08018,41.38968,2.18325,BARCELONA,Abierto con normalidad,2021-04-29
RTE EL MANJAR,CR,LLEIDA,19,08004,41.37316,2.15505,BARCELONA,Abierto con normalidad,2021-03-01
XARCUTERIA CERDANYA,CR,JOAN MIRO,22,08005,41.39030,2.19508,BARCELONA,Abierto con normalidad,2021-04-12
ART DOLÇ,CR,NICARAGUA,83,08029,41.38469,2.13949,BARCELONA,Cierre definitivo por Covid,2021-02-09
EL ESCONDITE,CL,BENET MATEU,57,08034,41.39445,2.12591,BARCELONA,Abierto con normalidad,2021-04-26
MINIBAR HOTEL CRAM,CR,ARIBAU,54,08011,41.38795,2.15984,BARCELONA,Cerrado estacional,2021-01-11
WHITE,CL,DOCTOR TRUETA,218,08005,41.39868,2.20358,BARCELONA,Cerrado temporalmente por COVID,2021-04-26
REST TOTTO,CR,CASANOVA,134,08036,41.38846,2.15473,BARCELONA,Cierre definitivo por Covid,2021-01-13
CELLER DE LA ROMA,PS,VALLDAURA,184,08042,41.43889,2.16988,BARCELONA,Abierto con normalidad,2021-04-21
SUPERMERCAT SIAL,CL,LA RAMBLA,4,08002,41.37705,2.17683,BARCELONA,Abierto con normalidad,2021-04-27
LATA-BERN@,CR,TORRENT DE LES FLORS,53,08024,41.40619,2.16023,BARCELONA,Abierto con normalidad,2021-04-28
CARNIBALL,CR,JUNTA DE COMERÇ,28,08001,41.37926,2.17196,BARCELONA,Abierto con normalidad,2020-10-02
"VALERY 'S",CL,VILLARROEL,176,08036,41.39021,2.15017,BARCELONA,Abierto con normalidad,2021-04-23
LA BODEGUETA-2,CR,JOAQUIN COSTA,32,08001,41.38226,2.16609,BARCELONA,Abierto con normalidad,2021-04-23
LLAMBER,CR,FUSINA,5,08003,41.40178,2.17303,BARCELONA,Abierto con normalidad,2021-04-28
XALANA CATERING,CR,VILLARROEL,181,08036,41.38879,2.15203,BARCELONA,Cerrado estacional,Sin survey
PORTIC BOQUERIA,PZ,SANT JOSEP,13,08001,41.38216,2.17176,BARCELONA,Cierre definitivo por Covid,2020-09-16
DAIJIRO SOBA-YA,CL,FRANCISCO GINER,6,08012,41.39862,2.15973,BARCELONA,Cierre definitivo por Covid,2021-04-21
TIMESBURG,CR,PARIS,95,08029,41.38886,2.14694,BARCELONA,Abierto con normalidad,2021-04-29
RESTAURANTE VINYAR,CR,VINYAR,7,08016,41.44090,2.18191,BARCELONA,Abierto con normalidad,2020-08-04
ANTARADOS CAFE,CR,MARINA,325,08025,41.40777,2.17015,BARCELONA,Abierto con normalidad,2021-04-26
EL TEU PA DEL POBLENOU,CR,LLULL,207,08005,41.40186,2.20328,BARCELONA,Abierto con normalidad,2021-04-26
FOODING URQUINAONA,CL,AUSIAS MARC,9,08010,41.39014,2.17401,BARCELONA,Cerrado estacional,Sin survey
LA PARRILLA GOURMET,CR,GRAN VIA DE LES CORTS CATALANES,274,08004,41.37134,2.14445,BARCELONA,Abierto con normalidad,2021-04-20
TAGLIATELLA BARCELONETA,PS,JOAN DE BORBO COMTE DE BARCELONA,78,08039,41.37501,2.18884,BARCELONA,Abierto con normalidad,2021-04-26
BAR FOGARATE,PS,TORRAS I BAGES,103,08030,41.44075,2.19073,BARCELONA,Abierto con normalidad,2021-03-29
BDG TERRA ALTA,CR,MARESME,128,08019,41.41585,2.21106,BARCELONA,Cierre definitivo por Covid,2021-02-03
A-MARTE RTE,CR,MUNTANER,328,08021,41.39763,2.14489,BARCELONA,Cierre definitivo por Covid,2021-01-11
SUPERMERCAT DE LA VILA,PZ,LA VILA DE GRACIA,8,08012,41.39610,2.14533,BARCELONA,Abierto con normalidad,2021-04-28
"RITA'S COFFEE",CR,BALMES,250,08006,41.39968,2.14983,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-26
HAMBURGUESA  NOSTRA DIAGONAL,AV,DIAGONAL,557,08029,41.38999,2.13482,BARCELONA,Abierto con normalidad,2021-04-29
SUPER ASIA,CL,BALMES,10,08007,41.38624,2.16671,BARCELONA,Abierto con normalidad,2021-04-29
REAL CLUB NAUTICO BARCELONA,LL,MOLL BOSCH I ALSINA,S/N,08039,41.37819,2.18111,BARCELONA,Abierto con normalidad,2021-04-29
BAR BADAL RTE PIZZERIA,CL,JAUME ROIG,21,08028,41.37636,2.12604,BARCELONA,Abierto con normalidad,2021-04-27
BAR CAF. GARIBALDI,CR,VILADOMAT,267,08029,41.38706,2.14749,BARCELONA,Abierto con normalidad,2021-04-29
PALOMO COJO,CL,GUARDIOLA I FELIU,1,08030,41.43880,2.18899,BARCELONA,Cierre definitivo por Covid,2020-07-08
FRUIT XTRA,CL,CONSELL DE CENT,370,08009,41.39480,2.17060,BARCELONA,Abierto con normalidad,2020-09-09
SUPER BARATO NOU,CR,NOU DE LA RAMBLA,129,08004,41.37336,2.16834,BARCELONA,Abierto con normalidad,2021-04-30
BAR RTE ARAGO,CR,CASTILLEJOS,216,08013,41.40407,2.18153,BARCELONA,Abierto con normalidad,2021-04-23
RTE SIAMOQUA,RB,POBLENOU,123,08018,41.40368,2.19770,BARCELONA,Abierto con normalidad,2021-04-20
DAS COFFE,CR,ESPRONCEDA,197,08018,41.40979,2.19875,BARCELONA,Abierto con normalidad,2021-04-23
OLD SCHOOL,CL,BILBAO,216,08018,41.41157,2.19185,BARCELONA,Abierto con normalidad,2021-04-15
ELEGANT ESTILISTES,CL,AMIGO,39,08021,41.39545,2.14431,BARCELONA,Abierto con normalidad,2021-04-28
GAUDEIX BARCELONA,AV,GAUDI,52,08025,41.40870,2.17444,BARCELONA,Abierto con normalidad,2021-04-28
CATALUNYA LEON 1999,AV,PARAL.LEL,180,08015,41.37507,2.15468,BARCELONA,Abierto con normalidad,2021-04-28
FRANKFURT LA CALA,CR,REINA CRISTINA,2,08003,41.38137,2.18317,BARCELONA,Abierto con normalidad,2021-04-27
CAFETERIA ILODI,CR,BERRUGUETE,122,08035,41.43317,2.14918,BARCELONA,Abierto con normalidad,2021-04-07
LA FABRICA,CL,CALL,19,08002,41.38241,2.17641,BARCELONA,Abierto con normalidad,2021-04-20
BAR RTE LA REINA,CR,FLUVIA,224,08020,41.41593,2.19519,BARCELONA,Abierto con normalidad,2021-04-26
BRACAFE ROSELLON,CR,ROSSELLO,475,08025,41.40714,2.17573,BARCELONA,NS/NC,2021-04-26
BAR RTE EL RACO DE LA BONA CUINA,CR,PROVENÇA,534,08025,41.40792,2.17908,BARCELONA,Abierto con normalidad,2021-04-27
SHARMIN ALIMENTACIO I FRUITES,CR,"L'HOSPITAL",92,08001,41.37988,2.16845,BARCELONA,Cierre definitivo por Covid,2020-11-17
TERMINAL C,LL,MOLL ADOSSAT,S/N,08039,41.35012,2.17486,BARCELONA,Cerrado temporalmente por COVID,2021-03-03
EL AROMA DEL PA,PS,SANT JOAN,94,08009,41.39860,2.17071,BARCELONA,Cierre definitivo por Covid,2021-03-04
BAR PECA PECA,CR,IRLANDA,34,08030,41.43149,2.18581,BARCELONA,Abierto con normalidad,2020-11-24
CAFETERIA LA SORT,CR,GRAN VIA DE LES CORTS CATALANES,392,08015,41.37614,2.15088,BARCELONA,Abierto con normalidad,2021-04-29
SUPERMERCADO SOL,CR,BRUC,70,08009,41.39362,2.17048,BARCELONA,Cierre definitivo por Covid,Sin survey
SUPERMERCAT SHANU&SAIF,CR,FLORIDABLANCA,56,08015,41.37749,2.15717,BARCELONA,Abierto con normalidad,2021-04-13
TAGLIATELLA GLORIAS,AV,DIAGONAL,208,08018,41.40488,2.19252,BARCELONA,Abierto con normalidad,2021-04-28
BAR LA PONDEROSA,AV,MERIDIANA,317,08027,41.42528,2.18593,BARCELONA,Abierto con normalidad,2021-04-23
2112,CL,CONSELL DE CENT,167,08015,41.38290,2.15481,BARCELONA,Abierto con normalidad,2020-12-22
KIOSKO PRENSA Q-4,PZ,CATALUNYA,1,08002,41.38594,2.16998,BARCELONA,Abierto con normalidad,2021-03-19
BAR EL PUNTO,CR,BALMES,279,08006,41.40087,2.14807,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-23
K.S. ALIMENTACION,AV,PARAL.LEL,173,08004,41.37496,2.15534,BARCELONA,Abierto con normalidad,2021-04-26
PORTAL DELS ENCANTS,CR,GRAN VIA DE LES CORTS CATALANES,765,08013,41.40171,2.18436,BARCELONA,Abierto con normalidad,2021-04-27
DELICATESSEN ARGENTINA,PZ,DOCTOR LETAMENDI,24,08007,41.38945,2.16040,BARCELONA,Abierto con normalidad,2021-04-28
TRUK TAPAS BAR,CR,CASTELLBELL,31,08030,41.43404,2.18601,BARCELONA,Abierto con normalidad,2021-04-26
GENERAL FOOD STORE,AV,PARAL.LEL,21,08004,41.37462,2.17423,BARCELONA,Abierto con normalidad,2021-04-30
"CA L'ESTRELLA",CR,CONCILI DE TRENTO,131,08020,41.41575,2.19810,BARCELONA,Abierto con normalidad,2021-04-26
CENTRIC CANALLA,CR,RAMELLERES,27,08001,41.38475,2.16817,BARCELONA,Abierto con normalidad,2021-02-18
RTE SITAR,RB,POBLENOU,101,08005,41.40277,2.19893,BARCELONA,Abierto con normalidad,2021-04-22
SUPERMERCAT,AV,VALLCARCA,28,08023,41.40880,2.14870,BARCELONA,Abierto con normalidad,2021-04-22
SUPER EURO.,CR,BALMES,427,08022,41.40822,2.13789,BARCELONA,Abierto con normalidad,2021-04-29
NECTARI RESTAURANTE,CR,VALENCIA,28,08015,41.38007,2.14655,BARCELONA,Abierto con normalidad,2020-09-30
EL CAFE DE LA RAMBLA,RB,POBLENOU,55,08005,41.40042,2.20204,BARCELONA,Cierre definitivo por Covid,2021-02-22
MIKKELLER,CL,VALENCIA,202,08011,41.38875,2.15797,BARCELONA,Cerrado temporalmente por COVID,2021-04-27
SUPER EXPRESS,CR,MALLORCA,374,08013,41.40149,2.17263,BARCELONA,Abierto con normalidad,2021-04-29
BAHIA PORTO MAR,AV,PARAL.LEL,129,08004,41.37495,2.15962,BARCELONA,Abierto con normalidad,2021-04-30
EL TEU PA DELS JARDINETS,CR,PUJADES,272,08005,41.40513,2.20524,BARCELONA,Abierto con normalidad,2021-04-29
FORN DE PA LLEIDA,CR,LLEIDA,29,08004,41.37260,2.15535,BARCELONA,Abierto con normalidad,2021-04-19
BAR IL TROVATORE,CR,JOSEP ESTIVILL,37,08027,41.41844,2.18861,BARCELONA,Cerrado temporalmente por COVID,2021-04-29
SWAGATAM INDIAN,CR,SANT AGUSTI,10,08012,41.39831,2.16078,BARCELONA,Abierto con normalidad,2021-04-26
CARITE,CR,GIRONA,95,08009,41.39618,2.16939,BARCELONA,Cierre definitivo por Covid,Sin survey
TERRAMIA,CR,RAMIRO DE MAEZTU,31,08024,41.41658,2.15742,BARCELONA,Abierto con normalidad,2021-04-21
SUPER ALIMENT.PARC GUELL,BRD,GLORIA,14,08023,41.41089,2.14863,BARCELONA,Cierre definitivo por Covid,2020-08-11
GRA DE CAFE,CR,GRAN DE SANT ANDREU,319,08030,41.43737,2.18940,BARCELONA,Abierto con normalidad,2021-03-19
"O'DELIS",CR,SANT GERVASI DE CASSOLES,86,08022,41.40609,2.13563,BARCELONA,Abierto con normalidad,2021-04-21
BAR PEÑALVER,PS,TORRAS I BAGES,96,08030,41.44027,2.19096,BARCELONA,Cierre definitivo por Covid,Sin survey
NINA,CL,CLOT,34,08018,41.40669,2.18765,BARCELONA,Abierto con normalidad,2020-09-16
SUPERMERCAT,CL,POETA CABANYES,37,08004,41.37361,2.16524,BARCELONA,Abierto con normalidad,2021-04-30
BAR ETXECOA,CR,SANTA AMALIA,20,08031,41.43022,2.16396,BARCELONA,Abierto con normalidad,2021-04-27
SUPERMERCAT FAJI,RB,PRAT,5,08012,41.40177,2.15246,BARCELONA,Abierto con normalidad,2021-04-28
RESTAURANT PIZZERIA LA TOSCANA,CR,NEOPATRIA,87,08030,41.43062,2.18898,BARCELONA,Abierto con normalidad,2021-04-27
CAF MARAGALL 79,PS,MARAGALL,78,08041,41.41871,2.18059,BARCELONA,Abierto con normalidad,2021-04-29
EL MEU,CR,CORSEGA,219,08036,41.39133,2.15243,BARCELONA,Cierre definitivo por Covid,2020-08-11
TOPOLINO,RB,BADAL,123,08028,41.37248,2.13144,BARCELONA,Abierto con normalidad,2021-04-21
BOCA BACO,CL,VILAMARI,2,08015,41.37541,2.15388,BARCELONA,Abierto con normalidad,2021-04-14
PA I CAFE,CR,ALMOGAVERS,6,08018,41.39162,2.18265,BARCELONA,Abierto con normalidad,2021-04-08
FRANKFURT CHAFARINAS,CR,ALHUCEMAS,38,08033,41.44785,2.18300,BARCELONA,Abierto con normalidad,2021-04-26
CAFE BAR VALIRA,CR,NOU DE LA RAMBLA,81,08001,41.37616,2.17121,BARCELONA,Abierto con normalidad,2021-04-29
SUPER BORBO,AV,QUINZE,60,08016,41.42833,2.17464,BARCELONA,Abierto con normalidad,2021-04-29
ARRELS 3G,PS,MARAGALL,7,08026,41.41370,2.18114,BARCELONA,Abierto con normalidad,2021-04-29
CAFETERIA EAE,CR,TARRAGONA,110,08015,41.37951,2.14403,BARCELONA,Abierto con normalidad,2021-04-12
RTE LA FONDA DE S.GERVASI,CR,SANT MARIUS,22,08022,41.40392,2.13762,BARCELONA,Cierre definitivo por Covid,2021-02-03
CAFERIA LITERARIA ARTEMISIA,CL,PUJADES,192,08005,41.40208,2.20121,BARCELONA,Abierto con normalidad,2021-04-21
EVENTOS PIAZOLLA,CR,NAPOLS,253,08025,41.40205,2.17060,BARCELONA,Abierto con normalidad,2021-04-28
GUSTOS MAREMAGNUM,LL,MOLL ESPANYA,5,08039,41.37550,2.18230,BARCELONA,Abierto con normalidad,2021-04-29
BORMUTH,CR,REC,31,08003,41.38577,2.18243,BARCELONA,Abierto con normalidad,2021-04-26
EL WOK,CR,SANTA FE DE NOU MEXIC,6,08017,41.39406,2.13612,BARCELONA,Abierto con normalidad,2021-04-29
