Outlet,St. type,Street,Number,Postal code,Latitude,Longitude,Municipality,Situation,Date
HAPPY DAYS PASTELERÍA ITALIANA,PS,JOAN DE BORBO COMTE DE BARCELONA,30,08003,41.37894,2.18773,BARCELONA,Abierto con normalidad,2021-04-27
SÚPER 3407 MOON,CL,"L'EQUADOR",92,08029,41.38783,2.13812,BARCELONA,Abierto con normalidad,2021-04-28
AVOCADOS GRACIA,CL,PUIGMARTI,2,08012,41.40125,2.15868,BARCELONA,Abierto con normalidad,2021-04-28
MI ALCAMPO,VIA,LAIETANA,4,08003,41.38217,2.18115,BARCELONA,Abierto con normalidad,2021-04-29
SUPER DANTE,CL,DANTE ALIGHIERI,73,08032,41.42773,2.15816,BARCELONA,Abierto con normalidad,2021-04-30
SUPER KING PRINCESSA,CL,PRINCESA,40,08003,41.38610,2.18143,BARCELONA,Abierto con normalidad,2020-10-06
RTE.LA BARRA BARNA,CR,"COMTE D'URGELL",240,08036,41.39009,2.14831,BARCELONA,Abierto con normalidad,2021-04-26
LLAGURT,CL,LLIBRETERIA,14,08002,41.38325,2.17743,BARCELONA,Abierto con normalidad,2020-09-22
BAR RINCON,CL,VILAMARI,10,08015,41.37590,2.15329,BARCELONA,Abierto con normalidad,2021-04-29
CREP NOVA DELIVERY,CL,LAFORJA,132,08021,41.39548,2.14367,BARCELONA,Abierto con normalidad,2021-04-28
EL BON XANTAR DE SARRIA,CL,BORDEUS,12,08029,41.38864,2.14137,BARCELONA,Cierre definitivo por Covid,2020-12-30
BAR LA PARADA,CR,MARESME,108,08019,41.41533,2.21177,BARCELONA,Abierto con normalidad,2021-04-28
FRUTERIA  SUPERMERCAT,CL,MARESME,40,08019,41.41253,2.21551,BARCELONA,Abierto con normalidad,2021-04-26
BAR JOSE,CR,MARESME,159,08020,41.41819,2.20799,BARCELONA,Cierre definitivo por Covid,2021-03-05
ANORMAL POBLENOU,RB,POBLENOU,117,08018,41.40368,2.19770,BARCELONA,Abierto con normalidad,2021-04-28
DISFRUIT,CL,PADILLA,276,08025,41.40719,2.17522,BARCELONA,Abierto con normalidad,2021-04-23
AVENUE CC,AV,RIO DE JANEIRO,42,08016,41.43548,2.18010,BARCELONA,Abierto con normalidad,2021-04-28
MISS SUSHI BARCELONETA,PS,JOAN DE BORBO COMTE DE BARCELONA,12,08003,41.38030,2.18720,BARCELONA,Abierto con normalidad,2021-04-27
FRUITES I VERDURES,CL,VALENCIA,192,08011,41.38839,2.15749,BARCELONA,Abierto con normalidad,2021-04-26
TRAFICANTES DE HARINA,CL,PAU CLARIS,139,08009,41.39370,2.16586,BARCELONA,Abierto con normalidad,2021-04-26
TIENDA COMPRA ESENCIAL,RDA,GUINARDO,58,08025,41.41240,2.16780,BARCELONA,Cerrado temporalmente por COVID,2021-04-14
SUPER VEGAN,CL,GRAN VIA DE LES CORTS CATALANES,373,08015,41.37587,2.14992,BARCELONA,Cerrado temporalmente por COVID,2021-03-11
COSTA AZUL,CL,BALMES,220,08006,41.39820,2.15131,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-26
WOJO,CL,SANCHO DE AVILA,66,08018,41.39930,2.19078,BARCELONA,Abierto con normalidad,2021-04-14
PANADERIA CAFETERIA ECUAPAN,VIA,FAVENCIA,316,08042,41.44573,2.17876,BARCELONA,Abierto con normalidad,2021-04-22
VINITO PARLAMENT,CL,PARLAMENT,27,08015,41.37648,2.16258,BARCELONA,Abierto con normalidad,2021-04-21
LA LUNA,CL,ROSSELLO,204,08008,41.39357,2.15767,BARCELONA,Abierto con normalidad,2021-04-26
ASAGUMO,CL,SARAGOSSA,42,08006,41.40256,2.14839,BARCELONA,Abierto exclusivamente para take away/delivery,2021-04-28
SUPER FRESC SALOMO BEN ADRET,CR,SALOMO BEN ADRET,15,08002,41.38285,2.17548,BARCELONA,Cierre definitivo por Covid,2021-01-19
CHICKOA,CL,COMTE BORRELL,85,08015,41.37887,2.16064,BARCELONA,Abierto con normalidad,2021-04-12
SÚPER BON VECINO,CL,BRUC,1,08010,41.38935,2.17611,BARCELONA,Abierto con normalidad,2021-04-29
EL ÚLTIMO DE LA ESQUINA,RDA,GUINEUETA VELLA,62,08042,41.44496,2.16759,BARCELONA,Abierto con normalidad,2021-04-29
"ELI'S PANADERIA CAFETERIA",CL,"L'ESCULTOR ORDOÑEZ",28,08016,41.43297,2.17450,BARCELONA,Abierto con normalidad,2021-04-28
BAR KAI,CL,LLULL,26,08005,41.39259,2.19066,BARCELONA,Abierto con normalidad,2021-04-28
SUPERMERCAT PETRARCA,CL,PETRARCA,17,08031,41.42984,2.16654,BARCELONA,Abierto con normalidad,2021-04-23
XOURAS,CL,LLACUNA,104,08018,41.40297,2.19651,BARCELONA,Abierto con normalidad,2021-04-27
CASA BALKAN,CL,VENEÇUELA,13,08019,41.40861,2.20539,BARCELONA,Abierto con normalidad,2021-04-23
SÚPER AGUILÓ,CL,MARIA AGUILO,124,08005,41.40018,2.20489,BARCELONA,Abierto con normalidad,2021-04-19
J Y R,AV,PARAL.LEL,46,08001,41.37486,2.17215,BARCELONA,Abierto con normalidad,2021-04-30
ESTANCO LAFORJA,CL,LAFORJA,63,08006,41.40014,2.15100,BARCELONA,Abierto con normalidad,2021-04-28
SÚPER GIRONA,CL,JORDI GIRONA,8,08034,41.38733,2.11304,BARCELONA,Abierto con normalidad,2021-04-27
RESTAURANTE TRITON,CL,"L'ALFAMBRA",16,08034,41.38664,2.11247,BARCELONA,Abierto con normalidad,2021-04-23
RTE. SPORTSBAR,PS,JOAN DE BORBO COMTE DE BARCELONA,29,08003,41.37901,2.18771,BARCELONA,Abierto con normalidad,2021-04-27
"MANZANO'S",CR,COMTE BORRELL,6,08015,41.37559,2.16496,BARCELONA,Abierto con normalidad,2021-04-07
EXPRESS 3411 MOON,CL,PERE IV,177,08018,41.40359,2.19836,BARCELONA,Abierto con normalidad,2021-04-28
SUSHI HE,CL,"COMTE D'URGELL",174,08036,41.38692,2.15223,BARCELONA,Abierto con normalidad,2021-04-28
