nombre,cocina,direccion,rating,num_opiniones,precio
Pizza a House,ITALIANO,"Carrer del Rector Triadó, 49, 08014, Barcelona",6.4,42,30
La Forquilla de Fusta,MEDITERRÁNEO,"Carrer de València, 350, 08009, Barcelona",0.0,0,15
Da Bruno,ITALIANO,"Carrer de les Corts, 16, 08028 Barcelona, 08028, Barcelona",8.2,3,11
The Fresh Poke Sancho de Avila,JAPONÉS,"Carrer de Sancho de Ávila, 171, 08018, Barcelona",8.8,94,12
El Roble - Sant Gervasi,MEDITERRÁNEO,"Plaça de Joaquim Folguera, 2, 08022, Barcelona",8.8,149,12
Tablafina - NH Collection Calderon,MEDITERRÁNEO,"Rambla de Catalunya, 26, 08007, Barcelona",9.0,113,25
M2 Gluten Free,MEDITERRÁNEO,"Avinguda Diagonal, 505, 08029, Barcelona",8.9,1447,22
Hummus Barcelona,VEGETARIANO,"Carrer de València, 227, 08007, Barcelona",8.9,1387,17
Bar Ri - Sarrià,MEDITERRÁNEO,"Plaça de Joaquim Pena, 4, 08017, Barcelona",8.8,253,20
Gatsby Barcelona,MEDITERRÁNEO,"Carrer de Tuset, 19, 08006, Barcelona",9.2,660,40
Mian,CHINO,"Carrer de Girona, 49, 08009, Barcelona",8.8,284,15
Mantura Tapes asiatiques i Vins,€,"Carrer de l'Encarnació, 38, Barcelona, Spain, 08024, Barcelona",8.6,1287,18
Prado de Flores,Welcome,"Carrer de Santa Anna, 11, 08002, Barcelona",8.5,33,17
Carrot Café,CREATIVO,"Carrer de Tànger, 22, 08018, Barcelona",8.8,557,13
Ca La Montse,ARROCERÍA,"C/ Balboa, 14, 08003, Barcelona",8.6,223,30
Galú,INSIDER,"Carrer del Rosselló, 290, 08037, Barcelona",9.2,1662,20
Can Fisher,MEDITERRÁNEO,"Av. del Litoral, 64, 08005, Barcelona",9.1,652,40
KbarcelonA,€,"Carrer de Provença, 426, 08025, Barcelona",0.0,0,25
Trabucaire,MEDITERRÁNEO,"Carrer de la Marina, 420, 08013, Barcelona",0.0,0,25
Honkaku II,JAPONÉS,"Carrer de Mallorca, 105, 08029, Barcelona",8.8,730,15
Tequila Cantina Mexicana - Aragó,MEXICANO,"Carrer d'Aragó, 527, 08026, Barcelona",8.9,1162,15
Tapas La Bona Sort,MEDITERRÁNEO,"Carrer dels Carders, 12, 08003, Barcelona",9.1,139,20
Rooftop Terraza Verbena - Monument Hotel,MEDITERRÁNEO,"Passeig de Gràcia, 75, 08008, Barcelona",9.0,20,39
Mirandoalmar,MEDITERRÁNEO,"C/ Moll d' Espanya, 5 (Segunda planta C.C.Maremagnum), 08039, Barcelona",8.8,10452,24
Bacaro,ITALIANO,"Calle Jerusalen 6, 08001, Barcelona",9.8,739,35
El xines Catalunya,CHINO,"Av. de Madrid nº100, 08028, Barcelona",9.8,4,15
HonestFood Jordi Girona,MEDITERRÁNEO,"Carrer de Jordi Girona, 10, 08034, Barcelona",9.2,5,14
Braseria Cal Ramon,ASADOR,"Av. de Gaudí, 74, 08025, Barcelona",8.9,70,30
Ocho Patas,GALLEGO,"Av. de Josep Tarradellas, 11, 08029, Barcelona",8.5,1352,18
M restaurante japones,JAPONÉS,"Carrer Gran de Gràcia, 180, 08012, Barcelona",9.3,10,20
Chakrumi,MEDITERRÁNEO,"Carrer de Béjar, 66, 08014, Barcelona",9.6,9,23
El marinero,MEDITERRÁNEO,"Carrer del Marquès de Campo Sagrado, 12, 08015, Barcelona",7.2,3,25
Tapazia,MEDITERRÁNEO,"Carrer del Topazi, 18, 08012, Barcelona",9.5,58,18
Terminal 42,INTERNACIONAL,"Carrer de Lleida, 5, 08004, Barcelona",9.3,108,35
La monda molleteria,ESPAÑOL,"Passatge de Josep Llovera, 1, 08021, Barcelona",9.4,8,16
Vinarium,ITALIANO,"Carrer de Feliu Casanova, 24, 08028, Barcelona",9.3,17,13
Viet Kitchen,VIETNAMITA,"Carrer d'Aribau, 137, 08036, Barcelona",9.4,549,15
INS Escola d'Hoteleria i Turisme de Barcelona - Restaurant (Menú del Dia),ESPAÑOL,"Carrer del Pintor Alsamora, 3, 08016, Barcelona",9.5,180,11
La Taula,MEDITERRÁNEO,"Carrer de Sant Màrius, 8, 08022, Barcelona",0.0,97,26
Crêperie Les 3 Pommes,CREPERÍA,"Carrer Aragó, 150, 08011, Barcelona",9.6,381,12
Can Boneta,CATALÁN,"Carrer de Balmes, 139, 08008, Barcelona",9.7,175,28
Ziryab,MEDITERRÁNEO,"Carrer de Grunyí, 5, 08003, Barcelona",9.6,1186,18
New Himali,INDIO,"Carrer de Còrsega, 416, 08037, Barcelona",9.3,82,15
Passeig,MEDITERRÁNEO,"Carrer de Còrsega, 300, 08008, Barcelona",9.4,26,22
Leche de Tigre,PERUANO,"Carrer de Martínez de la Rosa, 10, 08012, Barcelona",9.4,690,25
Koy Shunka,JAPONÉS,"Carrer d'en Copons, 7, 08002, Barcelona",9.8,200,100
Parlament Cuina de Barri,MEDITERRÁNEO,"Carrer del Parlament, 26, 08015, Barcelona",8.0,1246,20
Putxinel·lis,Welcome,"C/ Salou, 23, 08014, Barcelona",9.2,364,20
Little Viet,VIETNAMITA,"Carrer de Cartagena, 328, 08025, Barcelona",9.1,54,18
Cocoa,MEDITERRÁNEO,"Carrer de Lepant, 241, 08013, Barcelona",9.1,78,15
Panko restaurant,PERUANO,"Carrer de Viladomat, 249, 08029, Barcelona",8.9,11,25
El Pintor,MEDITERRÁNEO,"Carrer de Sant Honorat, 7, 08002, Barcelona",8.9,178,30
Casa Jaime,MEDITERRÁNEO,"C/ Consell de Cent, 222, 08011, Barcelona",8.7,204,19
La Mar Bella,ARROCERÍA,"C/ Taulat, 81, 08005, Barcelona",8.7,117,25
Bodega Joan,MEDITERRÁNEO,"C/ Roselló, 164, 08036, Barcelona",8.9,1600,15
La Balsa,MEDITERRÁNEO,"Carrer de la Infanta Isabel, 4, 08022, Barcelona",9.1,2178,43
Roig Robí,CATALÁN,"C/ Séneca, 20, 08006, Barcelona",8.9,329,45
Il Cuore Di Napoli,ITALIANO,"Carrer de Còrsega, 232, 08036, Barcelona",8.7,74,15
Colella,MEDITERRÁNEO,"Carrer de Pau Claris, 190, 08037, Barcelona",8.7,862,20
Can Vador Diputació,MEDITERRÁNEO,"Carrer de la Diputació, 367, 08009, Barcelona",8.7,378,30
Taberna de Sants,ANDALUZ,"Carrer dels Comtes de Bell-Lloc, 97, 08014, Barcelona",8.5,192,16
Babula Bar 1937,MEDITERRÁNEO,"Carrer de Pau Claris, 139, 08009, Barcelona",9.6,429,35
L'Orwell,MEDITERRÁNEO,"Carrer de n'Arai, 1, 08002, Barcelona",8.5,1243,20
Ryu Ramen,JAPONÉS,"Carrer de Sancho de Ávila, 178, 08018, Barcelona",9.6,1577,15
Jou's Food Experience,MEDITERRÁNEO,"Carrer de Llull, 226, 08005, Barcelona",8.8,1206,15
Tokyo Sushi,JAPONÉS,"C/ Condal, 20, 08002, Barcelona",8.8,1096,23
Lata-Bern@,MEDITERRÁNEO,"Carrer del Torrent de les Flors, 53, 08024, Barcelona",8.8,569,20
Chihuahua,MEXICANO,"C/ Passeig de Maragall, 107, 08041, Barcelona",8.8,2607,21
Etapes,MEDITERRÁNEO,"C/ Enrique Granados, 10, 08007, Barcelona",9.4,1065,35
Sésamo,VEGETARIANO,"C/ Sant Antoni Abat, 52, 08001, Barcelona",9.4,465,19
Red Fish,MEDITERRÁNEO,"Moll de la Marina, S/N, 08005, Barcelona",9.0,57,35
Raffaelli,AUTOR,"Carrer de Luis Antúnez, 11, 08006, Barcelona",9.0,512,35
El Tiet Taver-Teca Taverna Gastronomica,MEDITERRÁNEO,"Carrer de Còrsega, 382, 08037, Barcelona",9.0,253,25
Anfiteatro,MEDITERRÁNEO,"Parc del Port Olímpic s/n, 08005, Barcelona",8.0,264,25
Tacos 99,MEXICANO,"Avinguda del Paral·lel, 99, 08004, Barcelona",0.0,4,15
Hotpot de Sichuan,CHINO,"Plaça de Tetuan, 9, 08010, Barcelona",9.7,49,25
Les Vinyes de Muntaner,MEDITERRÁNEO,"Muntaner, 173, 08036, Barcelona",9.3,13,25
Oishii Ramen Street - Pau Claris,JAPONÉS,"Carrer de Pau Claris, 112, 08009, Barcelona",9.0,68,15
La Cococha,MERCADO,"Casanova 157, 08036, Barcelona",9.3,12,20
Tast Gastro Bar,MEDITERRÁNEO,"Av. del Paraŀlel, 127, 08004, Barcelona",8.9,225,17
Nikkei 103,JAPONÉS,"Carrer d'Aribau, 33, 08011, Barcelona",8.6,1309,35
La Tagliatella Sarria,€,"C/ Doctor Ferrán, 25-27, 08034, Barcelona",8.9,503,18
La Tagliatella Ausiàs March,€,"C/ Ausiàs March, 7, 08010, Barcelona",8.9,320,18
Inmortales Trattoria,Welcome,"C/ Marc Aureli, 27, 08006, Barcelona",8.7,1148,25
Escola de Cuina Terra d'Escudella,MEDITERRÁNEO,"C/ Bofarull, 46, 08027, Barcelona",0.0,425,45
Guell Away,ESPAÑOL,"Carrer de Larrard, 39, 08024, Barcelona",0.0,0,18
Ama Sushi,JAPONÉS,"Carrer Nou de la Rambla, 121, 08004, Barcelona",0.0,0,20
Londres2,MEDITERRÁNEO,"Carrer de Mallorca, 532, 08026, Barcelona",0.0,0,15
Fractura,MEDITERRÁNEO,"Carrer d'Alexandre Galí, 13, 08027, Barcelona",0.0,0,20
Spelta Cafe & Restaurante,MEDITERRÁNEO,"Carrer de Maignon, 11, 08024, Barcelona",0.0,0,20
Piel de Gallina,FUSIÓN,"Carrer de Magalhães, 35, 08004, Barcelona",8.8,15,25
La Pizza Loca,€,"Carrer de la Creu Coberta, 64, 08014, Barcelona",8.9,4,15
Divina Stefy,€,"Gran Via de les Corts Catalanes, 351, 08014, Barcelona",8.8,12,17
Bar Paradis,€,"Carrer de Girona, 161, 08037, Barcelona",0.0,0,12
Delizie Gastro Cafeteria,ITALIANO,"Plaça del Dr. Letamendi, 30, 08007, Barcelona",0.0,0,15
Mr.sushi,JAPONÉS,"C. de Mallorca, 540, 08026, Barcelona",9.0,3,18
Contigo,MEDITERRÁNEO,"Carrer del General Álvarez de Castro, 5, 08003, Barcelona",0.0,0,12
El Bar,MEDITERRÁNEO,"Carrer de Ribes, 46, 08013, Barcelona",0.0,0,20
Lokal,MEDITERRÁNEO,"Carrer de la Marina, 19-21, 08005, Barcelona",0.0,0,30
La Queixalada,CATALÁN,"Calabria, 31, 08015, Barcelona",0.0,0,25
Sedna,MEDITERRÁNEO,"Paseo de Colon, 5, 08002, Barcelona",8.9,4,25
Can Cuxart,MEDITERRÁNEO,"Costa i Cuxart, 37, 08016, Barcelona",8.8,26,20
La Biennal,MEDITERRÁNEO,"Rambla de Poblenou, 76, 08005, Barcelona",8.7,14,20
La Lonja,MEDITERRÁNEO,"Avenida Josep Tarradellas, 60, 08029, Barcelona",8.9,5,30
Abba Mía - Barcelona,MEDITERRÁNEO,"Numància, 32, 08029, Barcelona",0.0,0,30
Casa Patry,MEDITERRÁNEO,"MARE DE DEU DE PORT 305 LOCAL 11 BARCELONA, 08038, Barcelona",0.0,0,22
Bona Miga,ARGENTINO,"Carrer del Torrent de l'Olla, 35, Local 2, 08012, Barcelona",0.0,0,8
Danoskar,MEDITERRÁNEO,"Carrer de l'Equador, 47, 08029, Barcelona",8.9,8,12
Burger grill,€,"Gran Via de les Corts Catalanes, 553, 08011, Barcelona",0.0,0,10
Baozi,JAPONÉS,"Ronda de Sant Pere, 60, 08010, Barcelona",9.0,7,20
piccolo,MEDITERRÁNEO,"Carrer de la Indústria, 77, 08025, Barcelona",0.0,0,20
Contempo by Eboca Restaurant,CATALÁN,"Carrer de Bergara, 9 - Hotel Catalonia Plaza Cataluña, 08002, Barcelona",0.0,0,25
Matalaranya,CATALÁN,"Carrer del Rosselló, 260, 08037, Barcelona",0.0,0,16
Vita GastroBar,FUSIÓN,"Carrer de Verdi, 31, 08012, Barcelona",0.0,0,25
Amalia's Portuguese Flavours,MEDITERRÁNEO,"C/ del Comte d'Urgell, 132, 08011, Barcelona",0.0,0,12
Calla&Tapa,AUTOR,"C. de Rocafort, 29, 08015, Barcelona",9.0,4,20
Komai Sushi Bar & Restaurant,JAPONÉS,"Avinguda Diagonal, 40, 08019, Barcelona",8.9,25,15
Molo 39,Welcome,"Plaça de Pau Vila, 1, 08039, Barcelona",8.8,309,20
Terrazza Ravello,ITALIANO,"Plaça de Pau Vila, 1, 08003, Barcelona",8.8,429,20
Macot - Bar a Vins,MEDITERRÁNEO,"Carrer de Violant d'Hongria Reina d'Aragó, 150, 08014, Barcelona",9.4,68,25
Alo Beirut,LIBANÉS,"Carrer d'Aribau, 90, 08036, Barcelona",9.3,104,20
Ayres del Sur,ARGENTINO,"Carrer de Casp, 153, 08013, Barcelona",8.8,616,16
"Moments - Mandarin Oriental, Barcelona",CREATIVO,"Passeig de Gràcia, 38, 08007, Barcelona",9.2,265,150
El Celler de Sarrià,CASTELLANO,"Carrer de Manuel de Falla, 17, 08034, Barcelona",0.0,0,12
Flash Flash,MEDITERRÁNEO,"Carrer de la Granada del Penedès, 25, 08006, Barcelona",9.1,132,20
La Terraza del Pelai,MEDITERRÁNEO,"Carrer de Pelai, 28, 08001, Barcelona",9.5,5,25
Baldomero,MEDITERRÁNEO,"Passatge de Mercader, 16, 08008, Barcelona",9.5,339,15
Pepa Tomate - Parlament,MEDITERRÁNEO,"Carrer del Parlament, 35, 08015, Barcelona",8.8,319,18
Konkai Sushi,JAPONÉS,"Carrer de Roger de Flor, 222, 08013, Barcelona",8.8,588,16
Takumi,JAPONÉS,"Carrer de Mallorca, 182, 08036, Barcelona",8.8,3036,18
Kiku Japones,JAPONÉS,"Carrer de Madrazo, 15, 08006, Barcelona",8.8,2017,20
Quinto Quinta,MEDITERRÁNEO,"Gran Via de Les Corts Catalanes, 373, 08015, Barcelona",9.1,306,30
La Plassohla,MARISQUERÍA,"Vía Laietana, 49, 08003, Barcelona",8.9,804,30
Timesburg Sants,AMERICANO,"Carrer del Moianès, 75, 08014, Barcelona",7.6,9,12
Olivia Garden,MEDITERRÁNEO,"Carrer de la Llacuna, 150, 08018, Barcelona",8.6,243,15
Only sushi,JAPONÉS,"Carrer de Còrsega, 219, 08036, Barcelona",9.1,105,20
Matsuya,JAPONÉS,"Carrer del Dr. Ibáñez, 12, 08014, Barcelona",8.6,139,18
Fishhh!,MARISQUERÍA,"Avinguda Diagonal, 557, 08029, Barcelona",9.4,342,36
Can Reixes,MEDITERRÁNEO,"Plaça Reial, 12, 08002, Barcelona",0.0,0,30
Bendita Salsa,FUSIÓN,"Passatge dels Escudellers, 3, 08002, Barcelona",0.0,0,15
Aquí Quedamos,ITALIANO,"Carrer de Violant d'Hongria Reina d'Aragó, 60, 08028, Barcelona",9.6,227,15
Thai Zaap,TAILANDÉS,"Carrer de Viladomat, 131, 08015, Barcelona",0.0,355,20
Café Kafka,MEDITERRÁNEO,"C/ Fusina, 7, 08003, Barcelona",9.8,426,35
9 Reinas - Gourmet,ARGENTINO,"Carrer de Ganduxer, 28, 08021, Barcelona",9.5,425,27
Charcutería Valentín,MEDITERRÁNEO,"C/ Diputación, 301, 08009, Barcelona",9.2,967,28
Dispensa,MEDITERRÁNEO,"Carrer de Campo Florido, 52, 08027, Barcelona",9.1,115,22
Fauna,MEDITERRÁNEO,"Carrer del Duc, 15, 08002, Barcelona",0.0,0,35
Obon,MEDITERRÁNEO,"Plaça de Maragall, 13, 08027, Barcelona",0.0,0,15
El Jardin de Bambu,JAPONÉS,"Carrer del Marquès de Sentmenat, 54, 08029, Barcelona",8.9,24,15
Narciso,ITALIANO,"Carrer de la Princesa, 9, 08003, Barcelona",0.0,3,20
Xampú Xampany,MEDITERRÁNEO,"Gran vía de Les Corts Catalanes, 702, 08010, Barcelona",8.9,16,25
La Taberna del Bierzo,MEDITERRÁNEO,"Loreto 24, 08029, Barcelona",9.1,7,25
Bodega Genin,MEDITERRÁNEO,"Carrer del Comte Borrell, 306, 08029, Barcelona",9.7,136,20
Hanabi,JAPONÉS,"Passatge de Lluís Pellicer, 18, 08036, Barcelona",9.3,1717,20
Xerta de Fran López,CATALÁN,"Carrer de Còrsega, 289, 08008, Barcelona",9.4,689,95
Ukai Eixample,JAPONÉS,"Carrer de Mallorca, 188, 08036, Barcelona",8.9,4219,30
La Tagliatella Diagonal,€,"Avenida Diagonal, 431, 08036, Barcelona",8.8,471,18
L'Ham (planta baixa),MEDITERRÁNEO,"Paseig del Taulat, 243, 08019, Barcelona",9.8,453,15
Bruc 33 Tapas,MEDITERRÁNEO,"C/ Bruc, 33, 08010, Barcelona",8.9,1776,11
La Fonda del Port Olímpic,ESPAÑOL,"Moll de Gregal, 7, 08005, Barcelona",8.8,1166,36
Sabor Trujillano,PERUANO,"Carrer de Felip II, 41, 08027, Barcelona",8.2,3,25
Ama,PERUANO,"Carrer de Marià Cubí, 199, 08021, Barcelona",8.6,7,25
Timesburg Sant Cugat,AMERICANO,"Plaça d'Octavià, 4, 08172, Barcelona",7.9,21,12
Timesburg Sant Joan,AMERICANO,"Passeig de Sant Joan, 47-49, 08009, Barcelona",7.5,11,12
Market,MEDITERRÁNEO,"Carrer del Comte Borrell, 68, 08015, Barcelona",8.6,80,20
Muginoya,JAPONÉS,"Carrer del Torrent de l'Olla, 148, 08012, Barcelona",8.6,45,12
Archimissa Gastrobar,€,"Carrer de Vallhonrat, 19, 08004, Barcelona",8.1,95,20
Tonkotsu,JAPONÉS,"Carrer de València, 290, 08007, Barcelona",8.6,434,25
El Noi de Alcoi,ARROCERÍA,"Carrer de Castellnou, 37, 08017, Barcelona",0.0,0,25
Asagumo,JAPONÉS,"Carrer de Saragossa, 42-44, 08006, Barcelona",9.7,88,25
Udon Travessera,ASIÁTICO,"Travessera de Gràcia, 30, 08021, Barcelona",8.7,19,18
Ruta 40,EUROPEO,"Carrer de Nàpols, 314, 08025, Barcelona",0.0,0,25
Victors Bcn,MEDITERRÁNEO,"Carrer dels Escudellers, 40, 08002, Barcelona",0.0,0,25
Panchito Vico,MEXICANO,"Carrer de Vico, 28, 08021, Barcelona",9.2,79,18
MAAI - REAL FOOD,€,"Carrer de Regàs, 30, 08006, Barcelona",9.7,95,15
Sasá,ITALIANO,"Carrer d' Aribau, 318, 08006, Barcelona",9.7,112,25
The Terrace - Fairmont Rey Juan Carlos I,MEDITERRÁNEO,"Avinguda Diagonal, 661, 08028, Barcelona",9.1,813,35
Patito Feo,MEDITERRÁNEO,"Carrer de Casanova, 182, 08036, Barcelona",9.3,36,18
Xoxo,JAPONÉS,"Carrer de la Riera de Sant Miquel, 69, 08006, Barcelona",9.1,171,35
Restaurante La Llesca,MEDITERRÁNEO,"Avinguda de Gaudí, 12, 08025, Barcelona",8.8,116,21
Mussol - Casp,CATALÁN,"Carrer de Casp, 19, 08010, Barcelona",8.7,321,20
Grill Room - Bar Thonet,MEDITERRÁNEO,"Carrer dels Escudellers, 8, 08002, Barcelona",8.7,87,30
Fastuc,ITALIANO,"Carrer d'Oliana, 14, 08006, Barcelona",9.4,880,35
La Terrassa del Duquesa,MEDITERRÁNEO,"Passeig de Colom, 12, 08002, Barcelona",8.8,325,28
Koi Koi Sushi,JAPONÉS,"Travessera de Gràcia, 320, 08025, Barcelona",8.8,5092,20
Lomo Alto,ASADOR,"Carrer d'Aragó, 283-285, 08007, Barcelona",8.7,634,65
Café Turó,INTERNACIONAL,"Carrer del Tenor Viñas, 1, 08021, Barcelona",8.8,155,23
L'Ombú,MEDITERRÁNEO,"C/ Sardenya, 445, 08025, Barcelona",9.0,3346,21
Market Grill,MEDITERRÁNEO,"calle numero 29 de la zona franca, 08040, Barcelona",0.0,0,20
UDON GRAN VIA 2,ASIÁTICO,"Avinguda de la Granvia de l’Hospitalet, 75, 08908, Barcelona",9.3,32,18
Txapela - Plaça Catalunya,VASCO,"Plaça de Catalunya, 8, 08002, Barcelona",8.4,36,10
Matsuri Mehman Khana,INTERNACIONAL,"Plaça del Regomir, 1 (local 2), 08002, Barcelona",8.9,119,26
Mussol - C.C. Arenas,CATALÁN,"Gran Via de les Corts Catalanes, 373, 08015, Barcelona",8.5,163,20
Tribo Sushi & Cocktails,JAPONÉS,"Carrer d'Enric Granados, 48, 08008, Barcelona",9.3,627,45
Miss Sushi Aribau,JAPONÉS,"Carrer d'Aribau, 39, 08011, Barcelona",8.9,1202,20
Bistrot Levante,MEDITERRÁNEO,"Placeta de Manuel Ribé, 1, 08002, Barcelona",9.5,293,25
Elbasha,EGIPCIO,"Passeig de Colom, 22, 08002, Barcelona",0.0,0,20
Arume,GALLEGO,"Carrer d'en Botella, 11, 08001, Barcelona",9.4,2489,35
Jamón Jamón - Europa,MEDITERRÁNEO,"Carrer d'Europa, 23, 08028, Barcelona",8.1,109,13
Txokoa - Barcelona,MEDITERRÁNEO,"Carrer de Déu i Mata, 146, 08029, Barcelona",0.0,95,25
Cinco Jotas - Barcelona,ESPAÑOL,"Rambla de Catalunya, 91, 08008, Barcelona",8.6,417,25
Las Delicias de Francia,FRANCÉS,"Carrer de Muntaner, 443, Barcelona, Spain, 08021, Barcelona",8.5,241,34
Nogal Casa de Comidas,MEDITERRÁNEO,"Carrer de la Diputació, 412, 08013, Barcelona",8.1,671,20
Mammamia,INSIDER,"Carrer de Pallars, 230, 08005, Barcelona",9.4,574,37
Cal Marius 449,ESPAÑOL,"Carrer de Mallorca, 449, 08013, Barcelona",9.1,24,15
El Pi,JAPONÉS,"Av. de Madrid, 95, 08028, Barcelona",8.6,463,15
"Restaurante Tobogán ""La Gallega de Plaza Real""",ESPAÑOL,"Plaça Reial, 10, 08002, Barcelona",8.8,6,18
La Calaca,MEXICANO,"Carrer del Concili de Trento, 90, 08018, Barcelona",8.8,40,15
Pizzeria Eden Barcelona,€,"Carrer de Provença, 332, 08037, Barcelona",8.8,20,17
Viet Thai,VIETNAMITA,"Carrer de la Diputació, 140, 08015, Barcelona",8.7,192,18
Ca Meua,ESPAÑOL,"Carrer de Mallorca, 77, 08029, Barcelona",8.7,116,20
Popeye,MEDITERRÁNEO,"Carrer del Taquígraf Martí, 32, 08028, Barcelona",9.3,925,30
Hawker 45,ASIÁTICO,"Carrer de Casp, 45, 08010, Barcelona",8.3,15,20
Klevito's,MEDITERRÁNEO,"Carrer de Badajoz, 115, 08018, Barcelona",8.6,31,16
Bodega Joan 140,MEDITERRÁNEO,"C/ d'Entença, 140, 08015, Barcelona",8.2,9,18
Ciurana,MEDITERRÁNEO,"Can Bruixa, 45, 08028, Barcelona",8.4,27,25
Lima Limón,PERUANO,"Roselló, 361, 08025, Barcelona",8.2,3,25
New franvic,€,"Passeig de Santa Coloma, 33, 08030, Barcelona",0.0,0,15
Baby Jalebi,INDIO,"Gran Via de les Corts Catalanes, 452, 08015, Barcelona",8.5,75,20
MAKES TAPERIA,MEDITERRÁNEO,"Av. de Madrid, 160, 08002, Barcelona",9.7,49,15
Las Planchitas,MEXICANO,"Carrer d'Enric Granados, nº 26, 08008, Barcelona",9.5,156,15
Ramen-Ya Ajisen,JAPONÉS,"Carrer del Marquès de Sentmenat, 20, 08014, Barcelona",9.5,134,14
Gent del Barri,MEDITERRÁNEO,"Carrer de Rogent, 25, 08026, Barcelona",8.6,167,20
B.24 - Fairmont Rey Juan Carlos I,FUSIÓN,"Av. Diagonal, 661, 08028, Barcelona",9.0,562,35
Ocho Bcn,ARGENTINO,"C/ Tamarit, 109, 08015, Barcelona",9.4,653,20
Mamy Ildy,€,"C/ Floridablanca, 148, 08011, Barcelona",9.4,371,14
Estel de Gràcia,MEDITERRÁNEO,"Carrer de Còrsega, 337, 08037, Barcelona",9.5,286,24
Soluna,GASTRONÓMICO,"Carrer de Casanova, 157, 08036, Barcelona",9.6,149,48
Vivo Tapas Restaurant Coctelería,MEDITERRÁNEO,"Carrer del Rosselló, 255, 08008, Barcelona",8.8,579,22
Kibuka Poblenou,JAPONÉS,"Carrer de Llull, 155, 08005, Barcelona",0.0,4,25
Chongqing Liuyishou Hotpot,CHINO,"Carrer del Consell de Cent, 303, 08007, Barcelona",9.6,130,25
Boca Oreja,INTERNACIONAL,"Carrer de Blai, 28, 08004, Barcelona",9.2,228,27
Kurai by Eboca Restaurant,JAPONÉS,"Carrer de Tarragona, 99 ( Plaza Espanya), 08014, Barcelona",8.6,1214,30
Casa Delfín,CATALÁN,"Passeig del Born, 36, 08003, Barcelona",8.6,682,25
Mucho Cielo y Mucho Mar,YUMS,"Carrer de Salou, 12, 08014, Barcelona",0.0,0,20
Mussol - C.C. Glòries,CATALÁN,"Avinguda Diagonal, 208, 08018, Barcelona",8.4,265,20
Kane Room,MEDITERRÁNEO,"Plaça Reial, 11, 08002, Barcelona",0.0,0,25
Pandan,ASIÁTICO,"Travessera de Gràcia, 8, 08021, Barcelona",0.0,0,15
The Fresh Poke,€,"Avinguda Diagonal, 357, 08037, Barcelona",9.3,424,12
Casa do Açaí Brunch & Coffee,INTERNACIONAL,"Av. de Roma, 43, 08029, Barcelona",9.0,402,15
Petit Ramblero,ARROCERÍA,"Carrer dels Banys Nous, 8, 08002, Barcelona",9.0,260,30
La Gormanda,MEDITERRÁNEO,"Carrer d'Aribau, 160, 08036, Barcelona",9.3,332,40
Avinyó 10,MEDITERRÁNEO,"Carrer Avinyó, 10, 08002, Barcelona",8.7,521,20
Bollywood,INDIO,"Avinguda Drassanes, 27-29, 08001, Barcelona",8.5,117,20
Ceviche103,INSIDER,"Carrer de Londres, 103, 08036, Barcelona",9.1,3302,35
Lagman Restaurant,MEDITERRÁNEO,"Carrer del Taquígraf Garriga, 66, 08029, Barcelona",9.7,347,40
Louro,GALLEGO,"Rambla dels Caputxins, 37, 08002, Barcelona",9.6,1207,30
Brunch & Munch,INTERNACIONAL,"Carrer de Londres, 54, 08036, Barcelona",9.1,28,15
Maro Azul,MEXICANO,"Carrer de Roger de Flor, 218, 08013, Barcelona",9.5,348,35
Lilith & Sons,MEDITERRÁNEO,"Carrer d'En Fontrodona, 23, 08004, Barcelona",9.2,108,15
El Petit Firo,MEDITERRÁNEO,"Avinguda de Gaudí, 81-83, 08025, Barcelona",8.6,133,18
Gu,ASIÁTICO,"Carrer de Laforja, 70, 08006, Barcelona",8.0,10,20
Cuba de Janeiro,MEDITERRÁNEO,"Av. de Mistral, 33, 08015, Barcelona",0.0,0,20
Shuyu Hot Pot,CHINO,"Carrer de Muntaner, 174, 08036, Barcelona",8.5,4,20
Capricho Gallego,GALLEGO,"Plaça d'Isop, 8, 08035, Barcelona",7.0,3,20
Ilnamiki,MEXICANO,"Carrer del Comte d'Urgell, 22, 08011, Barcelona",8.5,77,21
La Colosal Tapas & Cocktails,MEDITERRÁNEO,"Rambla de Catalunya, 23, 08007, Barcelona",8.2,64,24
TOYODO,JAPONÉS,"Carrer de Nicaragua, 122, 08029, Barcelona",9.1,626,14
Thai Café,TAILANDÉS,"Travessera de Gràcia, 62, 08006, Barcelona",8.6,290,18
AmoVino,INTERNACIONAL,"Carrer d'Aribau 30, 08011, Barcelona",9.5,51,20
Fukamura,JAPONÉS,"Carrer de Còrsega, 479, 08025, Barcelona",9.3,1278,25
Los Caracoles,MEDITERRÁNEO,"Carrer dels Escudellers, 14, 08002, Barcelona",9.1,935,35
La Tagliatella - Som Multiespai BCN,€,"Avinguda de Rio de Janeiro, 42, 08016, Barcelona",0.0,0,18
Accés,MEDITERRÁNEO,"C/ Aribau, 55, 08011, Barcelona",9.7,873,40
El Chato,VASCO,"Gran Via de Les Corts Catalanes, 697, 08013, Barcelona",9.1,629,24
Ekaterina Restaurant,RUSO,"Carrer del Comte Borrell, 129, 08015, Barcelona",9.6,484,12
O'Rincón da Terra,GALLEGO,"Carrer dels Comtes de Bell-Lloc, 51, 08014, Barcelona",7.8,14,25
