nombre,cocina,direccion,rating,num_opiniones,precio
Calabrasa,CATALÁN,"Passeig del Born, 27, 08003, Barcelona",9.0,1122,30
Greek Aribau,GRIEGO,"Carrer d'Aribau, 50, 08011, Barcelona",9.4,36,20
Corte & Brasa,ARGENTINO,"Carrer del Comandant Benítez, 20, 08028, Barcelona",9.1,189,22
Pizzeria Gondola Barcelona,YUMS,"Plaça de Tirant lo Blanc, 2, 08005, Barcelona",9.3,40,20
Indian curry house,INDIO,"Carrer de Muntaner, 443 - 445, 08021, Barcelona",9.4,29,18
Buenissimo Burger,MEDITERRÁNEO,"Carrer de Peracamps, 7, 08001, Barcelona",9.6,22,15
Milano Cocktail Bar,MEDITERRÁNEO,"Ronda de la Universitat, 35, 08007, Barcelona",9.7,221,14
Mano Rota,MEDITERRÁNEO,"Carrer de la Creu dels Molers, 4, 08004, Barcelona",9.4,917,50
The Alchemix,FUSIÓN,"Carrer de València, 212, 08011, Barcelona",9.7,600,75
De Cupé,PERUANO,"Avinguda Meridiana, 211, 08027, Barcelona",9.6,1830,25
Brusi 47 Gourmet,CREATIVO,"Carrer de Brusi, 47, 08006, Barcelona",9.3,52,35
Tastem,MEDITERRÁNEO,"Carrer de Provença, 88, 08029, Barcelona",9.2,501,25
Gallo Nero,ITALIANO,"Carrer de Jaume I, 3, 08002, Barcelona",9.3,292,15
The Burger Maker Halal Barcelona,INTERNACIONAL,"Via Laietana, 12, 08003, Barcelona",8.8,69,15
Gallo Nero,ITALIANO,"Carrer de Jaume I, 3, 08002, Barcelona",9.3,292,15
The Burger Maker Halal Barcelona,INTERNACIONAL,"Via Laietana, 12, 08003, Barcelona",8.8,69,15
Lounge Marrakech,MARROQUÍ,"Carrer de Béjar, 87, 08014, Barcelona",8.9,605,15
El 90 Restaurante Bar,MEDITERRÁNEO,"Carrer del Consell de Cent, 90, 08015, Barcelona",9.0,328,20
Ruta 6 Brewery,AMERICANO,"Carrer de París, 176, 08036, Barcelona",9.3,72,25
"Urània II, boat restaurant",MEDITERRÁNEO,"Moll de Mestral, 08005, Barcelona",9.8,20,30
Maurizio 2.0,€,"Carrer de Muntaner, 208, 08036, Barcelona",9.2,288,24
Addis Abeba,ETÍOPE,"Vallespir, 44, 08014, Barcelona",9.4,60,20
Sentore Ristorante Pizzeria Italiana,ITALIANO,"Avinguda Diagonal, 423, 08036, Barcelona",9.2,364,30
El xiringo,ARROCERÍA,"Carrer de Sant Carles, 23, 08003, Barcelona",9.5,1112,30
Tequila Cantina mexicana,MEXICANO,"Carrer de Bilbao, 13, 08005, Barcelona",9.0,370,15
El Mexicano de Barcelona,MEXICANO,"C/ Villarroel, 233, 08036, Barcelona",9.2,3688,18
Bembi,INDIO,"C/ Consell de Cent, 377, 08009, Barcelona",9.5,5018,23
Via Napoli Restaurant and Pizzeria,ITALIANO,"Carrer de Nàpols, 256, 08025, Barcelona",9.1,133,35
Crosmas Casanova,MEDITERRÁNEO,"Carrer de Casanova, 158, 08036, Barcelona",9.0,329,20
Blai stop,MEDITERRÁNEO,"Carrer de Blai, 6, 08004, Barcelona",9.1,48,10
A Pluma - Gran de Gràcia,MEDITERRÁNEO,"Carrer Gran de Gràcia, 7, 08012, Barcelona",9.6,47,25
Blanc by Carme Ruscalleda - Mandarin Oriental,MEDITERRÁNEO,"Passeig de Gràcia, 38-40, 08007, Barcelona",9.3,931,50
Foc i oli,CATALÁN,"Carrer de París, 177, 08036, Barcelona",9.4,191,22
Indian Herbs,INDIO,"Carrer de Còrsega, 421, 08037, Barcelona",9.4,8,20
Royal Nepal,Welcome,"Carrer de Nàpols, 255, 08025, Barcelona",9.1,635,20
Chilangos,MEXICANO,"Carrer Nou de la Rambla, 95, 08001, Barcelona",9.1,2905,15
El Racó d'en Cesc,CATALÁN,"C/ Diputación, 201, 08011, Barcelona",9.7,777,48
Vinogrado,MEDITERRÁNEO,"Carrer de Benet Mateu, 59, 08034, Barcelona",9.7,479,40
RESTAURANT LA FERRERIA DES DE 1987,MEDITERRÁNEO,"Carrer de Neptú, 4, 08006, Barcelona",9.5,1473,45
